ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	FeH	eFeH1	eFeH2	Ref	MH	eMH1	eMH2	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a(Rsol)	eOrbit_a	R/a	detached	well_detached	source	mode	database	logL	elogL1	elogL2	eTeff	elogg	eFeH	eL	elogL	eM	eR	percent_eL	percent_elogL	percent_eM	percent_eR	percent_eTeff	percent_elogg	percent_eFeH	logTeff	elogTeff1	elogTeff2	logM	elogM1	elogM2
KIC11453915	1.25	0.06	0.09	1.22	0.03	0.03	6608.0	58.0	58.0	-0.12	0.15	0.15	NA	NA	NA	NA	4.359	0.011	0.013	NA	2.146	0.178748413	0.178748413	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.33162971762993226	0.034746242280822404	0.037769813298373145	58.0	0.012	0.15	0.178748413	0.036258027789597774	0.075	0.03	8.329376188257223	10.93328669358225	6.0	2.459016393442623	0.8777239709443099	0.27529249827942187	-125.0	3.8200700343123257	0.0037952750121856837	0.0038287343205425373	0.09691001300805642	0.020361282647707854	0.03245202378113797
KIC11456910	1.3	0.11	0.17	1.71	0.07	0.08	6386.0	61.0	61.0	-0.26	0.15	0.15	NA	NA	NA	NA	4.082	0.019	0.02	NA	3.678	0.320896125	0.320896125	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.5656117249020587	0.03632839817989508	0.03964694557201731	61.0	0.0195	0.15	0.320896125	0.0379876718759562	0.14	0.07500000000000001	8.72474510603589	6.716210114373803	10.76923076923077	4.385964912280702	0.9552145317882869	0.47770700636942676	-57.69230769230769	3.805228914203426	0.004128756007679701	0.004168384355570431	0.11394335230683679	0.03527576034854314	0.060864908823417024
KIC11502597	1.08	0.19	0.11	1.61	0.11	0.07	5798.0	59.0	59.0	-0.1	0.15	0.1	NA	NA	NA	NA	4.061	0.012	0.012	NA	2.332	0.208250395	0.208250395	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.36772854608697647	0.037147981480623204	0.040625234985076975	59.0	0.012	0.125	0.208250395	0.03888660823285009	0.15	0.09	8.9301198542024	10.574813581008337	13.888888888888888	5.590062111801242	1.0175922731976543	0.2954937207584339	-125.0	3.763278211018979	0.004397013008980988	0.004441986272020415	0.03342375548694973	0.07037996546900714	0.04665202122070484
KIC11708273	1.07	0.18	0.12	1.56	0.09	0.07	5959.0	96.0	96.0	0.24	0.15	0.1	NA	NA	NA	NA	4.081	0.023	0.022	NA	3.277	0.28619582	0.28619582	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.5154764413823758	0.03636324883520303	0.03968846242977958	96.0	0.0225	0.125	0.28619582	0.03802585563249131	0.15	0.08	8.733470247177296	7.37683676299846	14.018691588785046	5.128205128205128	1.611008558482967	0.5513354569958343	52.083333333333336	3.775173385424787	0.0069407620542842885	0.007053491239989551	0.029383777685209667	0.06752623532284675	0.05166017239636187
KIC11757831	1.42	0.14	0.1	1.82	0.07	0.06	6754.0	70.0	70.0	-0.02	0.15	0.2	NA	NA	NA	NA	4.07	0.014	0.014	NA	7.031	0.617434134	0.617434134	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.8470170979353542	0.03655543309126341	0.03991753872298598	70.0	0.014	0.175	0.617434134	0.038236485907124695	0.12000000000000001	0.065	8.781597695918078	4.514251955518727	8.450704225352114	3.571428571428571	1.036422860527095	0.343980343980344	-875.0	3.8295610562993927	0.004477961860073876	0.00452461507803914	0.15228834438305647	0.04083625397140514	0.03171441317720665
KIC11862119	1.17	0.15	0.13	1.52	0.09	0.08	6271.0	56.0	56.0	-0.38	0.15	0.15	NA	NA	NA	NA	4.141	0.018	0.018	NA	2.733	0.242536025	0.242536025	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.4366396316926607	0.036925580970327054	0.04035936772498816	56.0	0.018	0.15	0.242536025	0.03864247434765761	0.14	0.08499999999999999	8.874351445298206	8.849969527011933	11.965811965811968	5.592105263157895	0.8929995216073991	0.43467761410287364	-39.473684210526315	3.7973368007753496	0.0038610336837994197	0.00389566779768602	0.06818586174616162	0.0523880694596882	0.05115252244738125
KIC11919192	1.6	0.15	0.19	2.29	0.1	0.11	6788.0	81.0	81.0	-0.28	0.2	0.15	NA	NA	NA	NA	3.919	0.019	0.02	NA	9.2	0.763354241	0.763354241	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.9637878273455552	0.0346177443231499	0.037618013172729614	81.0	0.0195	0.175	0.763354241	0.03611787874793976	0.16999999999999998	0.10500000000000001	8.297328706521741	3.747492728499682	10.625	4.585152838427948	1.1932822628167354	0.49757591222250575	-62.49999999999999	3.8317418336456384	0.0051516827307955815	0.005213527304986698	0.2041199826559248	0.03891806603036965	0.05490087000054486
KIC11962180	1.35	0.14	0.15	1.97	0.1	0.1	6329.0	80.0	80.0	0.06	0.15	0.1	NA	NA	NA	NA	3.979	0.016	0.018	NA	6.241	0.547604773	0.547604773	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.7952541825808829	0.03652634256108578	0.039882849648064544	80.0	0.017	0.125	0.547604773	0.03820459610457516	0.14500000000000002	0.1	8.77431137638199	4.80407358318917	10.74074074074074	5.0761421319796955	1.2640227524095433	0.427243025885901	208.33333333333334	3.8013350956745464	0.005455175909520271	0.005524571007138324	0.13033376849500614	0.04285249991726797	0.05115252244738125
KIC11971746	1.11	0.1	0.17	1.35	0.05	0.08	5952.0	75.0	75.0	0.18	0.15	0.15	NA	NA	NA	NA	4.215	0.018	0.021	NA	2.284	0.187851532	0.187851532	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.3586960995738104	0.034326282389281704	0.03727405954952534	75.0	0.0195	0.15	0.187851532	0.03580017096940352	0.135	0.065	8.22467302977233	9.980641275982645	12.162162162162161	4.814814814814815	1.2600806451612903	0.4626334519572954	83.33333333333334	3.7746629225378223	0.005438268930089141	0.005507231823423719	0.045322978786657475	0.03746239152979268	0.07219512518695878
KIC12011630	0.85	0.12	0.08	0.99	0.05	0.03	5817.0	85.0	85.0	-0.08	0.15	0.15	NA	NA	NA	NA	4.383	0.018	0.015	NA	1.085	0.096706057	0.096706057	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.0354297381845483	0.03707972338719009	0.04054360449092957	85.0	0.0165	0.15	0.096706057	0.038811663939059826	0.1	0.04	8.91300064516129	109.54544382150263	11.764705882352942	4.040404040404041	1.4612343132198728	0.37645448323066394	-187.5	3.7646990637983677	0.006300141365572998	0.006392882073060768	-0.07058107428570728	0.05735280855195213	0.04292820054181083
KIC12055375	1.04	0.16	0.12	1.54	0.1	0.08	5991.0	75.0	75.0	-0.34	0.2	0.1	NA	NA	NA	NA	4.081	0.025	0.026	NA	2.481	0.210149961	0.210149961	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.3946267642722091	0.035311134688200796	0.03843830877777976	75.0	0.025500000000000002	0.15000000000000002	0.210149961	0.03687472173299028	0.14	0.09	8.470373276904475	9.344201932425069	13.461538461538463	5.844155844155844	1.2518778167250877	0.6248468512619456	-44.11764705882353	3.777499319590365	0.005403086384279554	0.0054711542655101475	0.01703333929878037	0.06214790674884445	0.053245511953225085
KIC12156916	1.28	0.14	0.16	1.58	0.06	0.07	6546.0	56.0	56.0	-0.42	0.2	0.15	NA	NA	NA	NA	4.146	0.015	0.018	NA	3.54	0.309113868	0.309113868	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.5490032620257879	0.0363574969546403	0.03968160983157065	56.0	0.0165	0.175	0.309113868	0.038019553393105476	0.15000000000000002	0.065	8.732030169491527	6.925196264374767	11.718750000000002	4.113924050632911	0.8554842652001222	0.39797395079594794	-41.66666666666667	3.8159760009719856	0.0036995190223070296	0.0037313041716164896	0.10720996964786837	0.045078374735188095	0.05799194697768672
KIC12253255	1.48	0.16	0.14	2.27	0.11	0.09	6457.0	64.0	64.0	0.1	0.2	0.1	NA	NA	NA	NA	3.89	0.018	0.018	NA	9.183	0.787558936	0.787558936	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.9629845843169971	0.035734920636232737	0.03894106709134093	64.0	0.018	0.15000000000000002	0.787558936	0.037337993863786834	0.15000000000000002	0.1	8.576270674071655	3.877319997834549	10.135135135135137	4.405286343612334	0.9911723710701564	0.4627249357326478	150.0	3.8100307864058394	0.004283413801620117	0.004326081971974816	0.17026171539495738	0.04458213265274047	0.04315691703014979
KIC12304142	1.36	0.09	0.11	1.83	0.04	0.05	6186.0	56.0	56.0	0.06	0.15	0.1	NA	NA	NA	NA	4.045	0.012	0.013	NA	4.448	0.382339102	0.382339102	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.6481647785740011	0.03581284181683064	0.03903362568586821	56.0	0.0125	0.125	0.382339102	0.03742323375134943	0.1	0.045	8.595753192446042	5.773722205899962	7.352941176470588	2.459016393442623	0.9052699644358229	0.30902348578491967	208.33333333333334	3.79140991566716	0.003913848662153718	0.00394944114874507	0.13353890837021754	0.027829093864757404	0.036628895362161115
KIC12507240	1.37	0.11	0.1	1.94	0.06	0.06	6157.0	97.0	97.0	0.02	0.2	0.15	NA	NA	NA	NA	4.001	0.015	0.015	NA	4.666	0.394698516	0.394698516	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.6689447344577338	0.0352657311384329	0.03838450786429415	97.0	0.015	0.175	0.394698516	0.036825119501363524	0.10500000000000001	0.06	8.459033776253749	5.504956927602554	7.664233576642337	3.0927835051546393	1.5754425856748417	0.37490627343164207	875.0	3.7893691535914815	0.006788723315433121	0.0068965294251954745	0.1367205671564068	0.033541148238550644	0.03291684620044992
