ID,Teff,logg,FeH,L,eTeff,elogg,eFeH,eL,M,R,eM,eR
KIC8228742,0.1000560030561353,-0.6387653080874809,0.0434102306826465,0.1883208982389649,0.2291999960149095,0.05273536920619514,0.024607908063169762,0.09787155064575703,0.2651198595178772,0.5431639278409893,0.12042593060464962,0.02415746484343465
KIC3439031_A,1.0635318921865753,0.4686774452426215,0.8308632887040789,-0.2336043010853172,0.26417321893624335,0.005273536920619514,0.6398056096424138,0.1828045980723904,0.1808217080946224,-0.430381905349427,0.006021296530232482,0.0024157464843434645
EPIC204624076,0.6582254051159737,-0.744236046499869,-0.3011004822017302,0.929032942655086,0.19144940843598324,0.0738295168886732,0.5413739773897347,0.19429333083441916,0.1446939289132275,0.5914788575278587,0.3010648265116241,0.0966298593737386
KIC8950146,0.6393501113265107,0.7429013651148342,0.26980298486380827,-0.5025301764718115,0.1617882324811126,0.0755055576663214,0.4970797428760292,0.08726404451049875,0.24705596992718043,-0.6163943846438736,0.348345630467997,0.07779303751012667
CD_Tau A,0.1701642371312841,-0.2854383344059726,0.7324316564513998,0.18684627448118085,0.13482352706759382,0.05273536920619514,0.7382372418950928,0.06946574726750837,1.4754004620946064,0.5141749700288677,0.09634074448371971,0.041067690233838904
EPIC205995584,0.7984418732662714,-0.3118060190090696,-0.005805585443693063,0.38955626212145367,0.19144940843598324,0.06855597996805368,0.3937265290107162,0.15555294452350987,0.6866106166341512,0.3015892794066426,0.4214907571162737,0.0966298593737386
TIC126323537_A,1.7529924449048355,-0.48055920046889417,-2.269733127255311,0.5910475524412442,0.3586305819997996,0.05273536920619514,0.24607908063169762,0.054841379421717136,-0.30690331085420836,0.19529643409553007,0.28300093692092665,0.06522515507727354
ASAS_J090232-5653.4_B,1.4737459556424342,0.5425069621312912,-0.39953211445440917,-0.14017083984831766,0.2703211717705256,0.0369147584443366,0.6398056096424138,0.1970227334780208,1.0599310015085655,-0.46661810261457926,0.048170372241859855,0.007247239453030394
KIC10972873,-0.5632757501164263,-0.9129892279596935,0.05817497552054834,-0.1369209803270307,0.1725741146465201,0.043276160112468404,0.4970797428760292,0.12402586881565304,-0.11422182188676877,0.6663669985425058,0.31250858055761954,0.08641379190239401
KIC7871531,-2.1784616043862,1.6815909369851072,-2.086158133104065,-1.3304562634660695,0.8116376329469148,0.10547073841239028,0.039372652901071614,0.05167276638846236,-2.384250613784414,-1.7276377674418677,0.24085186120929925,0.0483149296868693
