ID,Teff,logg,FeH,logL,eTeff,elogg,eFeH,elogL,M,logR,eM,elogR
KIC7347189,0.3646834694758521,-0.2787920106284139,0.09435506653159674,1.1148409646734145,0.23402383396294754,0.010546442894838198,0.21725611007706855,0.0657554739993645,3.650459587268325,0.908591341858898,0.3483373530156478,0.039822572064522006
KIC6762849,-2.1651550566112183,-2.4029537782939023,-0.18283376356673206,2.427254173667959,0.20237357606953923,0.010276021282150041,0.21725611007706855,0.06122478351459519,0.20152742242878788,2.3770057411345524,0.2197271913890945,0.04037620683360289
KIC8327201,0.6389776402114324,1.203388848515386,1.5559642760500818,-0.9182194842001214,0.23076250942786017,0.011087286120214517,0.21725611007706855,0.07096580926379423,1.175476917593941,-0.9078238373396466,0.27422302258678655,0.042919816543799096
KIC11972904,1.2757432351745652,1.2328648042983952,0.17975919256189266,-0.9891266362377444,0.2655036888327519,0.010816864507526358,0.21725611007706855,0.08168206602931939,0.3850693819026149,-1.08396900418496,0.21885525808993142,0.039268329444248753
KIC8891957,0.7181698157550981,0.23122315090145415,-0.18732871756832659,0.03437196166787333,0.2711359295110701,0.011357707732902676,0.21725611007706855,0.05254026487306719,0.8223439314328955,-0.01953498874820977,0.2389097239706821,0.039775195736410966
KIC11284798,-2.340887382184895,-2.0495127305104783,0.48167026966899135,1.937746189698591,0.197223618022841,0.010276021282150041,0.21725611007706855,0.05945666966179659,0.7552050673973395,2.1508041095454993,0.2415255238681713,0.040401150796229725
KIC2011883,-1.4870246536034772,-2.3810496276661612,-0.09668047853617043,2.205472843856981,0.2542865416493389,0.011357707732902676,0.21725611007706855,0.09956108200521148,-0.8365091702248508,2.120097401216463,0.18092615957633773,0.04106897854229788
KIC9290481,-0.33492087011753763,-1.5165117319021175,-0.3948457606419403,1.4949981193586543,0.2257077456628666,0.010276021282150041,0.21725611007706855,0.0625923096005434,-0.5596703477405756,1.3695137074004882,0.18441389277299,0.039438377992473135
EPIC212456495,1.4022937769634263,0.31802848857435384,-1.7920272961375705,-0.13669633138211407,0.27775158342625567,0.10816864507526358,0.0468224375166096,0.042052301423162346,-0.6259372784769686,-0.3658664042086829,0.13950932786609174,0.021726227357453016
EPIC246463000,-0.4437389787464262,-0.07408284982347671,0.6416157162257297,-0.27490564593374467,0.2655322063333894,0.05678853866451338,0.027344303509700005,0.04080567076815018,-0.4602699516359855,-0.14739184195420418,0.30081698821126035,0.045362361857375987
EPIC211675366,0.5765754218453442,-0.2741948432127151,-1.2623718829496828,0.23527806337422333,0.2730814689177579,0.09735178056773722,0.045698699016210965,0.10527225995466966,-0.6302969449727844,0.20175179999976334,0.261579989748922,0.04160147547636745
KIC11671621,-0.46392963330246617,0.03841254105479703,0.7236486267548297,-0.18578866389962093,0.24223526114667918,0.010816864507526358,0.21725611007706855,0.04224448037405704,-0.3809240214121458,-0.07767008269932701,0.19400515906378382,0.03990267629690296
EPIC210805432,0.40827613927350576,0.6073796141506832,0.06551244502136523,-0.40749673444567214,0.2663123437690175,0.062196970918276556,0.027344303509700005,0.0381011047523841,-0.6390162779644152,-0.42192922014942585,0.261579989748922,0.04076523701860043
KIC9177726,-2.3980618040860966,-1.8894231357990883,0.8483836002990777,1.7132600984054156,0.19497419292421675,0.010005599669461882,0.21725611007706855,0.11615116469539616,0.6279028057195303,1.9754558682301662,0.2328061908765406,0.03971074979444619
KIC9237611,0.5167608049487988,-0.37749589925959126,-1.0750821328832445,0.3550522197600549,0.26759165180715877,0.012168972570967152,0.21725611007706855,0.06424607627248066,0.1335166250940679,0.4384154530383284,0.23106232427821444,0.042925868713217456
KIC11819928,0.5899268143058706,0.6346921970321873,0.34981828562221867,-0.5770277204242145,0.26843420009053404,0.011357707732902676,0.21725611007706855,0.07885210029410256,-0.11672823176573369,-0.6024768265333975,0.2031604587049961,0.0397869708249262
KIC3744408,-0.8622887757974294,-0.26067376257830743,0.9360352033301709,0.30058663347437614,0.2802982476413326,0.012709815796343471,0.21725611007706855,0.08278836486987408,0.2111186887195816,0.3419060777316416,0.23585795742361135,0.043078642701303335
EPIC206414782,1.2024383789093682,1.5105878005291344,-1.5961222175680763,-1.4687595728151401,0.2745462648874594,0.1000559966946188,0.04457496051581234,0.06761624781295796,-1.2144922554120436,-1.4875982514415007,0.0653949974372305,0.01196133358081673
KIC5792889,1.7903761445163433,1.2666675058844155,-2.3055757908197445,-1.3312931938509187,0.27016978644205614,0.011898550958278995,0.21725611007706855,0.08018620991738722,-1.152149024521884,-1.471754495859597,0.17656649308052236,0.042819192616398626
