ID,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,FeH,eFeH1,eFeH2,Ref,MH,eMH1,eMH2,logg,elogg1,elogg2,"logg_from_M,R",L,eL1,eL2,L_from_SB,class,type,orbit_a(Rsol),eOrbit_a,R/a,detached,well_detached,source,mode,database,eTeff,elogg,eFeH,eL,eM,eR,percent_eM,percent_eR,percent_eL
KIC4586099,1.253,0.118595953,0.077833155,1.813,0.051623638,0.040360872,6383.0,58.0,58.0,-0.151,0.1,0.1,,,,,4.021,0.013892444,0.012206556,,5.663,0.482656291,0.482656291,,ms,F,,,,,,serenelli17,A,1,58.0,0.0130495,0.1,0.482656291,0.09821455400000001,0.045992254999999996,7.838352274541103,2.5368039161610585,8.522978827476601
KIC4739932,1.166,0.058591808,0.063071388,1.805,0.047010637,0.047927028,5876.0,111.0,111.0,0.008,0.1,0.1,,,,,3.991,0.016155494,0.016155494,,4.034,0.323248424,0.323248424,,ms,G,,,,,,serenelli17,A,1,111.0,0.016155494,0.1,0.323248424,0.060831598,0.0474688325,5.217118181818182,2.629852216066482,8.013099256321269
KIC4755204,1.19,0.102459748,0.065863495,1.645,0.043863424,0.039357337,6073.0,70.0,70.0,-0.072,0.1,0.1,,,,,4.084,0.012083046,0.012083046,,2.924,0.263173003,0.263173003,,ms,F,,,,,,serenelli17,A,1,70.0,0.012083046,0.1,0.263173003,0.0841616215,0.0416103805,7.0724051680672275,2.52950641337386,9.00044469904241
KIC4756112,1.378,0.073,0.071505245,2.619,0.090476516,0.08579627,6182.0,60.0,60.0,-0.209,0.1,0.1,,,,,3.739,0.019416488,0.020396078,,11.38,1.040684239,1.040684239,,ms,F,,,,,,serenelli17,A,1,60.0,0.019906283,0.1,1.040684239,0.0722526225,0.08813639300000001,5.243296262699565,3.365268919434899,9.144852715289982
KIC4841753,1.314,0.056035703,0.053600373,2.149,0.07940403,0.074632433,5966.0,67.0,67.0,0.127,0.1,0.1,,,,,3.891,0.02236068,0.023345235,,6.304,0.560000153,0.560000153,,ms,G,,,,,,serenelli17,A,1,67.0,0.0228529575,0.1,0.560000153,0.054818038,0.0770182315,4.171844596651446,3.5839102605863196,8.883251157994923
KIC4842436,1.089,0.060440053,0.062008064,1.57,0.056920998,0.054083269,5688.0,63.0,63.0,0.139,0.1,0.1,,,,,4.082,0.023769729,0.023769729,,2.791,0.254711365,0.254711365,,ms,G,,,,,,serenelli17,A,1,63.0,0.023769729,0.1,0.254711365,0.0612240585,0.0555021335,5.622043939393939,3.535167738853503,9.126168577570764
KIC4947253,1.173,0.055072679,0.056824291,2.006,0.048332184,0.048332184,5953.0,59.0,59.0,-0.196,0.1,0.1,,,,,3.901,0.013,0.013,,5.318,0.474089941,0.474089941,,ms,G,,,,,,serenelli17,A,1,59.0,0.013,0.1,0.474089941,0.055948485,0.048332184,4.769691815856778,2.4093810568295115,8.914816491162092
KIC5084157,1.102,0.082298238,0.073573093,1.378,0.048301139,0.045650849,5803.0,83.0,83.0,0.125,0.1,0.1,,,,,4.201,0.01118034,0.01118034,,2.351,0.197037741,0.197037741,,ms,G,,,,,,serenelli17,A,1,83.0,0.01118034,0.1,0.197037741,0.0779356655,0.046975994,7.072201950998185,3.4089981132075473,8.381018332624416
KIC5214711,1.255,0.076485293,0.070724819,1.868,0.073409809,0.06977822,6194.0,54.0,54.0,-0.025,0.1,0.1,,,,,3.993,0.023769729,0.023769729,,5.291,0.438711511,0.438711511,,ms,F,,,,,,serenelli17,A,1,54.0,0.023769729,0.1,0.438711511,0.073605056,0.0715940145,5.86494470119522,3.8326560224839397,8.291655849555848
KIC5253542,1.077,0.061400326,0.061400326,1.191,0.026400758,0.026400758,5770.0,96.0,96.0,0.203,0.1,0.1,,,,,4.318,0.013,0.013,,1.463,0.123674067,0.123674067,,ms,G,,,,,,serenelli17,A,1,96.0,0.013,0.1,0.123674067,0.061400326,0.026400758,5.701051624883937,2.2166883291351804,8.453456390977443
KIC5344612,1.298,0.07566373,0.10878419,1.746,0.060827625,0.060827625,6359.0,84.0,84.0,-0.123,0.1,0.1,,,,,4.063,0.020396078,0.020396078,,4.715,0.390669341,0.390669341,,ms,F,,,,,,serenelli17,A,1,84.0,0.020396078,0.1,0.390669341,0.09222396,0.060827625,7.105081664098613,3.483827319587629,8.285670010604454
KIC5353186,1.362,0.210582525,0.087709749,2.187,0.104709121,0.06726812,6166.0,55.0,55.0,0.073,0.1,0.1,,,,,3.893,0.012649111,0.012649111,,7.67,0.655138126,0.655138126,,ms,F,,,,,,serenelli17,A,1,55.0,0.012649111,0.1,0.655138126,0.149146137,0.0859886205,10.950524008810572,3.93180706447188,8.541566179921773
KIC5371516,1.454,0.070092796,0.127945301,2.049,0.035355339,0.058600341,6350.0,81.0,81.0,0.075,0.1,0.1,,,,,3.976,0.01,0.014317821,,5.834,0.497365294,0.497365294,,ms,F,,,,,,serenelli17,A,1,81.0,0.0121589105,0.1,0.497365294,0.09901904850000001,0.04697784,6.810113376891335,2.2927203513909227,8.525287864244087
KIC5431016,1.336,0.175559107,0.084314886,2.142,0.081394103,0.046227697,6601.0,62.0,62.0,-0.264,0.101,0.101,,,,,3.903,0.019235384,0.012727922,,8.646,0.791074601,0.791074601,,ms,F,,,,,,serenelli17,A,1,62.0,0.015981653,0.101,0.791074601,0.1299369965,0.0638109,9.725823091317366,2.9790336134453783,9.149602139717787
KIC5512589,1.132,0.041146081,0.044777226,1.658,0.024839485,0.025612497,5789.0,56.0,56.0,0.032,0.1,0.1,,,,,4.052,0.00781025,0.00781025,,2.979,0.248201743,0.248201743,,ms,G,,,,,,serenelli17,A,1,56.0,0.00781025,0.1,0.248201743,0.0429616535,0.025225991000000003,3.795199072438163,1.5214711097708085,8.331713427324607
KIC5516982,1.263,0.045276926,0.044418465,1.472,0.019416488,0.019416488,6444.0,50.0,50.0,-0.065,0.1,0.1,,,,,4.203,0.007211103,0.007211103,,3.568,0.306744936,0.306744936,,ms,F,,,,,,serenelli17,A,1,50.0,0.007211103,0.1,0.306744936,0.0448476955,0.019416488,3.5508864212193196,1.3190548913043478,8.59711143497758
KIC5530375,1.404,0.064350602,0.061854668,2.753,0.06574192,0.064845971,6210.0,55.0,55.0,-0.226,0.1,0.1,,,,,3.706,0.012369317,0.012369317,,8.503,1.208243273,1.208243273,,ms,F,,,,,,serenelli17,A,1,55.0,0.012369317,0.1,1.208243273,0.063102635,0.0652939455,4.494489672364673,2.3717379404286234,14.20961158414677
KIC5543462,1.033,0.061294372,0.058821765,1.298,0.057974132,0.053160135,6246.0,54.0,54.0,-0.372,0.102,0.102,,,,,4.224,0.029274562,0.030265492,,2.252,0.188741772,0.188741772,,ms,F,,,,,,serenelli17,A,1,54.0,0.029770027,0.102,0.188741772,0.0600580685,0.0555671335,5.813946611810262,4.280981009244992,8.381073357015987
KIC5636956,1.464,0.072422372,0.127137721,2.055,0.055461698,0.064621978,6369.0,60.0,60.0,0.094,0.1,0.1,,,,,3.975,0.012165525,0.013152946,,7.338,0.637729562,0.637729562,,ms,F,,,,,,serenelli17,A,1,60.0,0.012659235500000001,0.1,0.637729562,0.0997800465,0.060041838,6.815576946721311,2.9217439416058393,8.690781711638047
KIC5683538,1.22,0.058600341,0.061032778,2.302,0.101651365,0.093962759,6366.0,73.0,73.0,-0.557,0.102,0.102,,,,,3.798,0.02745906,0.029427878,,6.302,0.483941956,0.483941956,,ms,F,,,,,,serenelli17,A,1,73.0,0.028443469,0.102,0.483941956,0.059816559500000005,0.097807062,4.9029966803278695,4.248786359687228,7.679180514122502
KIC5773155,1.429,0.077833155,0.079208585,1.896,0.052153619,0.052153619,6317.0,55.0,55.0,0.138,0.1,0.1,,,,,4.036,0.013152946,0.013152946,,5.469,0.4588635,0.4588635,,ms,F,,,,,,serenelli17,A,1,55.0,0.013152946,0.1,0.4588635,0.07852086999999999,0.052153619,5.49481245626312,2.7507183016877637,8.39026330224904
KIC5950854,0.956,0.049203658,0.047634021,1.233,0.021400935,0.020615528,5913.0,61.0,61.0,-0.238,0.1,0.1,,,,,4.236,0.008602325,0.008602325,,1.875,0.157345852,0.157345852,,ms,G,,,,,,serenelli17,A,1,61.0,0.008602325,0.1,0.157345852,0.0484188395,0.021008231500000002,5.064732165271966,1.703830616382806,8.391778773333334
KIC5961597,1.465,0.068593003,0.077620873,1.923,0.04494441,0.04494441,6492.0,53.0,53.0,0.051,0.1,0.1,,,,,4.035,0.012649111,0.013601471,,6.678,0.526709025,0.526709025,,ms,F,,,,,,serenelli17,A,1,53.0,0.013125291,0.1,0.526709025,0.07310693800000001,0.04494441,4.990234675767918,2.3372028081123246,7.887227088948788
KIC6047087,1.096,0.061587336,0.06074537,1.315,0.027730849,0.026832816,6189.0,61.0,61.0,-0.188,0.1,0.1,,,,,4.239,0.011661904,0.011661904,,2.129,0.17638538,0.17638538,,ms,F,,,,,,serenelli17,A,1,61.0,0.011661904,0.1,0.17638538,0.061166353,0.0272818325,5.580871624087591,2.0746640684410647,8.284893377172383
KIC6049366,1.212,0.06726812,0.065795137,1.822,0.086648716,0.08005623,6220.0,62.0,62.0,-0.143,0.099,0.099,,,,,3.998,0.029427878,0.030413813,,4.637,0.392941598,0.392941598,,ms,F,,,,,,serenelli17,A,1,62.0,0.0299208455,0.099,0.392941598,0.0665316285,0.08335247300000001,5.489408292079207,4.574778979143798,8.474047832650422
KIC6129877,1.115,0.067675697,0.070178344,1.328,0.038483763,0.038483763,6064.0,72.0,72.0,-0.048,0.1,0.1,,,,,4.238,0.015811388,0.016763055,,2.353,0.200690222,0.200690222,,ms,F,,,,,,serenelli17,A,1,72.0,0.016287221499999997,0.1,0.200690222,0.0689270205,0.038483763,6.181795560538117,2.8978737198795175,8.529121206969824
KIC6232600,1.132,0.059076222,0.059076222,1.312,0.024698178,0.024698178,6435.0,70.0,70.0,-0.294,0.1,0.1,,,,,4.255,0.01029563,0.01029563,,2.61,0.199951275,0.199951275,,ms,F,,,,,,serenelli17,A,1,70.0,0.01029563,0.1,0.199951275,0.059076222,0.024698178,5.218747526501767,1.8824830792682925,7.660968390804599
