ID,Teff,logg,FeH,logL,eTeff,elogg,eFeH,elogL,M,R,eM,eR
KIC7938112,0.6525205611313246,-0.5955018553963817,-0.7377256715621286,0.7814404442971672,0.0826448961430944,0.07004828970694661,0.756458720921754,0.0672167559756721,0.741352290473331,0.6583907368904023,0.49666707464128607,0.1486827734181327
KIC9970397_B,0.29950879046296425,0.5337503097213954,-1.3933232296943152,-0.1267595825926554,0.14758017168409715,0.019908461285132198,0.5043058139478361,0.05459431194904114,-0.4738264854823494,-0.700383958684558,0.028144467563006207,0.009664380272178625
DS_And_A,1.2938213423742682,-0.6876706576423653,0.22045537493875997,0.9700065424028409,0.07505337211166445,0.047927777167910836,0.10086116278956722,0.051247493382044845,1.685019732291774,1.11559026515116,0.04304447980224478,0.011151208006359952
KIC12507240,0.22394774256070651,-0.7503454431696315,0.472608281912678,0.5128398122824227,0.11452221322685939,0.05530128134758943,0.8825351744087131,0.052454364931409134,0.741352290473331,0.844244203663068,0.3476669522489002,0.11151208006359951
KIC4465529,0.44590832077358866,-0.31162194447875613,0.4978235726100699,0.4534681907098811,0.05785142730016608,0.037957435418712146,0.5043058139478361,0.053795527973521454,0.5824188265881193,0.3182788926964236,0.18632406864008727,0.05689059367092151
KIC11922782_A,0.026780633190752735,-0.3337424570177927,-0.7528548459805637,0.15345311694336522,0.1298705510820055,0.12166281896469676,0.06051669767374033,0.06422461000351548,-0.2619152003020672,0.028347484531064625,0.033111138309419065,0.10593647606041955
EPIC211902535_A,-0.18700990671769768,-0.993671081099026,0.8760529330709468,0.4931738698548549,0.025348370288460525,0.12903632314437535,0.10086116278956722,0.34257352713111866,2.5690871251532625,1.1360341464961534,0.21191128518028202,0.468350736267118
ZTF_J034350.31+515137.1_A,-0.07728109746713824,0.43678872975862193,0.5028666307495482,0.10669639308138333,0.08729662315457715,0.34286794435505447,0.2773681976713098,0.30363990559496057,-0.28178188328771864,0.002327999182891795,0.14237789473050197,0.28621433882990543
KIC10730618,0.5368177065309925,-0.48121254061136465,0.3414887702862406,0.5423526582828005,0.06375463416752997,0.026585549055296413,0.5043058139478361,0.050318221906137814,0.7347300628114471,0.5413030528236225,0.18534658810382723,0.04475944166591332
KIC9139151,0.19443170822388708,0.6100660779810678,1.0036423039997493,-0.11738734500132812,0.13223183382895104,0.07373504179678592,0.02269376162765262,0.05008411640276238,0.04601838597553,-0.6239981838409926,0.09933341492825719,0.03717069335453318
KIC9138680,0.026780633190752735,-1.4913826132273318,1.0223016191158194,0.8271989990513422,0.07083848240836663,0.04663413641385922,0.4992627558083577,0.05359344090917958,0.893663526696658,1.8422773202322835,0.1835802860196097,0.09897971224085918
KIC10018963,0.21214132882597875,-0.9752373206498299,-0.7256223320273805,0.5483291084069523,0.11098028910644106,0.03686752089839296,0.03126696046476583,0.038367245109647626,0.27779635414146364,0.8814148970176011,0.06622227661883813,0.01858534667726659
mu._Cas_A,-0.7807780662646269,1.144645131007764,-3.713129973854362,-0.9408994899536843,0.0365998825776561,0.04055427298823225,0.15129174418435082,0.00695104420255338,-1.331404967696303,-1.2949291988903162,0.04039558873749126,0.01486827734181327
LL_Aqr_A,0.32430225930589257,0.26166800549125424,0.5734694447022451,0.09638587275288928,0.06021271004711164,0.0033180768808553657,0.25215290697391807,0.020801682070952978,0.16091403590921474,-0.3117643596629136,0.0029800024478477158,0.0024160950680446563
TV_Cet_B,0.7174558366723274,0.5990058217115495,-0.2435059738932492,0.12933461112797104,0.17709620602091658,0.07004828970694661,0.025215290697391805,0.05737114719546343,0.39368533822443014,-0.4920422224323994,0.16886680537803722,0.01858534667726659
HD285001_B,0.3932989411716412,-0.11253733162743315,-0.17290315994055216,0.4328432442976768,0.09374292505373852,0.5972538385539659,0.06555975581321868,0.34678069002579903,1.4135083981545375,0.3963373487409434,0.052977821295070504,0.3754240028807851
KIC11026764,-0.17156711755267384,-1.2701774878369738,0.6637401853989079,0.46946132459797785,0.19008326112911714,0.03686752089839296,0.026223902325287474,0.06871474575374388,-0.11953730557156474,1.0486830171130002,0.06622227661883813,0.01858534667726659
TIC344753509_A,-0.5281208123414526,0.6838011197778521,-0.1829892762195089,-0.9415392898480861,0.14167696481673325,0.33180768808553657,0.6051669767374033,0.0547631851727555,-1.3347160815272447,-1.4064412789539158,0.016555569154709533,0.011151208006359952
HD146233,-0.21407020699769383,0.8681387242698195,0.8563850063269812,-0.43402096789593086,0.23612827469455544,0.03686752089839296,0.03227557209266151,0.08647244659767202,-0.583093241903432,-0.9027783839999912,0.06622227661883813,0.01858534667726659
V443_Cyg_A,0.8650360083564246,0.3151259107939239,-0.7024242645857801,0.2535047070413757,0.413224480715472,0.5603863176555729,0.12607645348695903,0.234457999457001,0.17846293921320638,-0.34521798368199347,0.6622227661883813,0.37170693354533174
KIC9579208,0.5368177065309925,-0.6913574097322026,-0.4855727645882106,0.5456304404329677,0.06611591691447552,0.03646689076567034,0.3636600966154357,0.051498706357023034,0.191707394536974,0.5487371914945292,0.19068066004092143,0.05742010599530151
KIC7529180,0.8437844636339146,0.14184856257147804,0.2507137237756301,0.38027717431237895,0.06847719966142107,0.036310297814030466,0.5043058139478361,0.04900729073861759,0.6817522415163766,-0.05714511018436134,0.22384664363983625,0.06050950449789884
KIC4841753,-0.0015547597725939198,-1.155888173051955,1.0122155028368627,0.6989706128761987,0.07910297202267608,0.0842531888221336,0.5043058139478361,0.055098530570868234,0.555929915940584,1.2326779492179396,0.181508763806899,0.14314105328974738
PTFEB132.707+19.810_A,-3.196370316389929,2.6377797273926795,1.0777752586500815,-3.0941059996609512,0.0826448961430944,0.07373504179678592,0.20172232557913444,0.04523496897065467,-2.485990360545746,-2.0866649673418727,0.006622227661883813,0.01486827734181327
CU_Cnc_A,-3.314434453737207,2.2101164849713224,1.380358747018783,-2.97161188174254,0.17709620602091658,0.04055427298823225,1.0086116278956723,0.11785085341779786,-2.3518902503925987,-1.9589836356690513,0.0026488910647535255,0.009664380272178625
KIC5636956,0.4742437137369353,-0.846200997505454,0.8457945842340766,0.7929273683031165,0.07083848240836663,0.0466714629353928,0.5043058139478361,0.05389861693570968,1.0525969905818697,1.057975690451634,0.33038309201817656,0.11158983743702787
KIC10024648,0.5214693686758464,-0.776152707798507,0.3414887702862406,0.655371550087803,0.18536069563522603,0.05617377888029058,0.5043058139478361,0.05303213845424125,0.9863747139630316,0.9557562837266675,0.3724803515534623,0.10282897450089122
KIC8478994,-0.6497268738091486,1.3474164959489274,-0.8789312994675226,-0.9110481466335274,0.08854810301045829,0.00921688022459824,0.3636600966154357,0.03188831206184208,-1.1128714548541367,-1.3265242882416692,0.049666707464128594,0.008363406004769966
BW_Aqr B,0.5698756649882303,-0.47752578852152416,0.018733049359625505,0.5513873861617641,0.11806413734727772,0.0811085459764645,0.5547363953426196,0.05206849291824768,0.764530087289924,0.561746934168616,0.06622227661883813,0.07434138670906636
KIC8776961,-0.2246959793589488,-0.6913574097322026,-0.2636782064511627,0.2348419817397561,0.08500617889003996,0.034642805651060773,0.5043058139478361,0.05557695912575961,-0.268537427963951,0.35359105138323,0.17284898761576686,0.0631901787027064
EPIC210822691_A,-0.012629175855768698,0.30037890243456505,0.3717471191231108,-0.0867995456400194,0.06329418403187559,0.0774217938866252,0.25215290697391807,0.05225456580060455,-0.18575958219040292,-0.43814471706832653,0.013244455323767626,0.007434138670906635
TIC46299496_B,-0.04878041471150501,0.8681387242698195,-2.4523654389847716,-0.3535580428705644,0.14167696481673325,0.07373504179678592,0.15129174418435082,0.02691335411758758,-0.3082707939352539,-0.865607690645458,0.08608895960448956,0.07434138670906636
KIC7510397,0.24047672178932541,-0.6216777952342419,-0.687295090167345,0.5461331766648444,0.09090938575740384,0.020277136494116124,0.5043058139478361,0.01990573181154157,0.7357233969607296,0.6907292401088458,0.06920227906668584,0.03345362401907986
KIC8981766,0.31839905243852873,-0.5365138219589529,-0.5360033459829942,1.2086851709621882,0.08500617889003996,0.05345790530266978,1.2607645348695902,0.057977523519921664,0.7744634287827493,0.6212200435358691,0.33111138309419064,0.09292673338633294
KIC6278762,-1.0877448233675489,1.3105489750505321,-2.059006904105459,-1.105570238903269,0.08736746163698551,0.00921688022459824,0.3636600966154357,0.032493711275770006,-1.3479605368510124,-1.3711291202671092,0.03311113830941906,0.008363406004769966
KIC7940546,0.31603776969158315,-0.7271189050036456,-0.6368645087725613,0.6875813624332185,0.09090938575740384,0.00811085459764645,0.5043058139478361,0.014265763786475639,0.8363812574213635,0.8468461521978854,0.06920227906668586,0.03345362401907986
UCAC4_665-061158_A,-1.4404850465200112,0.7243553927660848,-0.6772089738883883,-1.1645307268033849,0.08694243074253531,0.3502414485347331,0.2924973720897449,0.21439627979040649,-1.437360610286444,-1.2428902281939698,0.023177796816593346,0.10593647606041955
KIC10655953,0.7398880227683101,0.4736562506570141,0.0036038749411904806,0.07550342212603585,0.0720191237818394,0.04739500646678421,0.4992627558083577,0.052056090011147686,0.38375199673160476,-0.4065496277169735,0.16305899417402414,0.04918223936099981
KIC10709834,0.6383528646496514,-0.4148510029942581,-0.03169753203515808,0.637640639284068,0.09917387537171328,0.03686752089839296,0.45387523255305245,0.050275394818655325,0.8075745670921685,0.5097079634722694,0.11588898408296673,0.04646336669316647
KIC6529109,-0.19045737952823827,-0.7945864682477046,0.7348473051655527,0.33195116927702906,0.10625772361254995,0.03686752089839296,0.4992627558083577,0.053731970465939936,0.14535180090378727,0.6360883208776824,0.18051330723365078,0.059306889460710284
HD96609_B,3.5257884396833483,0.14184856257147804,0.472608281912678,1.301642269907958,0.12684810916591518,0.007373504179678591,0.30258348836870164,0.06653576732895103,2.297575791016027,0.39262027940549005,0.013244455323767626,0.0037170693354533174
KIC9962623,-0.06412875256665111,-0.22682664641245345,-0.6721659157489099,0.01274052975248883,0.195986467996481,0.05785811765693478,0.5093488720873145,0.05378108667611678,-0.5268043067774196,-0.16865719024796097,0.2666773860776229,0.07663274343508453
KIC11075456,0.6442560715170152,0.00912548733726166,-0.6368645087725613,0.28854746215592525,0.06847719966142107,0.07004828970694661,1.2607645348695902,0.050352284877844176,0.4764631839979782,-0.010681743491195035,0.4635559363318669,0.11151208006359953
KIC10322381,0.5864046442168491,-0.02036852938145273,-1.4487968692285773,0.15746935686190383,0.07438040652878497,0.10533091643619065,0.5043058139478361,0.05034466126382414,-0.02682611830519201,-0.157505982241601,0.22090799865929386,0.11668130245193838
KIC10118942,0.4659792241226259,-1.307045008735366,-1.2672467762073565,0.6946377165302376,0.0720191237818394,0.06080347496176366,0.3636600966154357,0.057472612163969414,0.12548511791813582,1.2159511372084,0.2030972640624493,0.11222681767003449
EPIC211563123_B,-0.3558180102968359,-1.358659537993117,-0.8083284855148257,0.46230676028203804,0.0995162613700204,0.28756666300746503,0.05043058139478361,0.2291401473431109,0.03608504448270464,1.2345364838856663,0.029800024478477155,0.29922408150399205
V636_Cen B,-1.1420543265472967,1.2073199165350335,-0.6368645087725613,-1.020927930498888,0.11806413734727772,0.01843376044919648,0.4034446511582689,0.05392897586700071,-0.9671824462926931,-1.2094366041748899,0.00993334149282572,0.007434138670906635
KIC1430163,0.6525205611313246,0.06074001659501266,-0.1829892762195089,0.3510139474230444,0.09917387537171328,0.04977115321283049,0.45387523255305245,0.04987652882797311,0.6420188755450736,-0.010681743491195035,0.19866682985651438,0.05575604003179976
*_alf_Cen_A,-0.19281866227518382,0.42572847348910364,1.380358747018783,-0.18344259434483678,0.015348337855146103,0.1843376044919648,0.05043058139478361,0.0012257946676049358,-0.1162261917406232,-0.49947636110330607,0.08608895960448956,0.009292673338633295
KIC5961597,0.6194626026740869,-0.6249958721150961,0.6289430842365072,0.7346240961466376,0.06257399279405719,0.0483896940239989,0.5043058139478361,0.048893274059874446,1.055908104412812,0.8126491143117149,0.24206539354961246,0.08353074410552071
KIC6520835,0.21096068745250598,-1.1300809084230796,0.5331249795864184,0.7816121869132836,0.05903206867363886,0.03919071298079683,0.5043058139478361,0.04926128408464179,0.6022855095737708,1.2233852758793067,0.19251707661606607,0.06401436727425847
KIC9656397_B,0.4636179413756803,0.6469335988794599,-0.07708505529046329,-0.0903044666264593,0.15938658541882492,0.14747008359357183,0.2067653837186128,0.18860564360109142,0.04601838597553,-0.7355102639045917,0.5463337821054146,0.2880728734976321
EPIC219394517_A,-0.04494333024771848,0.8128374429222279,0.7247611888865961,-0.3272299461643703,0.04899661699912025,0.033180768808553654,0.15129174418435082,0.0516712399329698,-0.22549294816170584,-0.8005589772750251,0.0033111138309419065,0.009292673338633295
EPIC220398184_B,-2.7510205839022626,1.778766490460125,-2.139695834337113,-2.431268124238367,0.023518376159577723,0.4055427298823225,0.5396072209241846,0.21439627979040657,-2.3611613691192357,-1.8543481338760404,0.03642225214036097,0.07619992137679302
KIC10398597,0.5250112927962647,-0.7872129640680252,0.9365696307446872,0.7429055705506576,0.07674168927573052,0.08917063590421866,0.5043058139478361,0.051987463494614396,1.0724636735675213,0.9836343037425677,0.3153417945517717,0.1396055358425783
KIC4247542,0.5580692512535025,-0.4037907467247398,-1.8471984622473678,0.36867051302807946,0.0779223306492033,0.07465104116077112,0.5043058139478361,0.04564994978092404,-0.05662614278366883,0.17703025794919747,0.26960934923045443,0.09561506196616952
KIC3967430,0.7729459812255479,0.11604129794260092,0.3717471191231108,0.3463464231758779,0.06257399279405719,0.05161452925775014,0.756458720921754,0.04898499850048814,0.7082411521639119,-0.029267090168461636,0.34766695224890015,0.08363406004769963
KIC8868907_A,-0.19754122776907493,0.02571587174153912,0.3717471191231108,-0.07640237822135254,0.17709620602091658,0.0033180768808553657,1.2607645348695902,0.06902018590386347,-0.37780418438503366,-0.3117643596629136,0.016555569154709533,0.0037170693354533174
KIC10644253,0.2298509494280704,0.7944036824730318,1.1135809714403777,-0.14911031963031243,0.17945748876786213,0.07373504179678592,0.02269376162765262,0.06502864028666827,0.04601838597553,-0.6983395705500586,0.13244455323767626,0.03717069335453318
VZ_Cep B,-0.2919925376468971,0.8902592368088529,0.6743306074918125,-0.39470316878768197,0.14167696481673325,0.12166281896469676,0.45387523255305245,0.07919423113259462,-0.12615953323344856,-0.7949833732718449,0.026488910647535252,0.07434138670906636
KIC10019747,-0.23414111034673102,-0.5918151033065444,1.4005309795766963,0.17921803970077785,0.07674168927573052,0.03919071298079683,0.5043058139478361,0.05284171897157237,0.07250729662306526,0.39819588340866985,0.17647566218369595,0.05576719867394479
KIC4755204,0.12477386718899325,-0.4443450197129725,0.008646933080668846,0.22372943223452743,0.0826448961430944,0.04454719509212434,0.5043058139478361,0.055829353118847985,0.14535180090378727,0.2959764766837037,0.2786687089831477,0.07733433469654734
KIC11962180,0.4270180587980242,-0.8314539891460968,0.6743306074918125,0.692757270144066,0.09445130987782217,0.06267478552726803,0.6303822674347951,0.05441931630533542,0.6751300138544928,0.9000002436948678,0.4801115054865765,0.18585346677266587
KIC8289241,0.39986330720815033,0.17134257929019245,0.3515748865651973,0.17028726861251664,0.06139335142058441,0.07091609216086135,0.5043058139478361,0.05095676943083878,0.2248185328463931,-0.22627176494748721,0.20567852231609202,0.07920684089863864
UCAC4_555-031577_A,0.6834179458751073,-0.2968749361194005,-1.5647872064365798,0.43133257956825544,0.04615127128905087,0.162217091952929,0.13616256976591573,0.26356225968963903,0.01621836149705318,0.16030344593965773,0.13244455323767626,0.26762899215263886
ASAS_J045021+2300.4_A,-0.3600092871726634,0.5731985570826756,-0.9394479971412629,-0.4400171422996611,0.033423957283014324,0.06636153761710731,1.3111951162643738,0.06206914170131011,-0.7022933398173404,-0.7949833732718449,0.023177796816593346,0.01858534667726659
KIC5516982,0.5627918167473935,-0.005621521022093899,0.04394834005701733,0.3468667794936286,0.05903206867363886,0.026585549055296413,0.5043058139478361,0.05331479453747455,0.3870631105625463,-0.025550020833008318,0.1484958248559211,0.036086216073498656
KIC5866724,0.2156832529463971,0.09392078540356757,1.057603026092168,0.15079042324777245,0.12632862696158717,0.03686752089839296,0.030258348836870164,0.043932722048342296,0.34401863076030187,-0.12219382355479466,0.06622227661883813,0.01858534667726659
KIC10129349,0.8638553669829517,0.0054387352474244074,0.5986847353996371,0.45478021007608443,0.06611591691447552,0.06532941293579636,0.5043058139478361,0.05368560524559923,0.7777745426136916,0.08967912856604462,0.19007474607654204,0.07480919661174515
KIC4646780,1.049216062618178,-0.6471163846541327,-0.2334198576142925,0.7214226897160398,0.16292850953924326,0.07004828970694661,0.756458720921754,0.05127415413335933,0.9400191203298448,0.8070735103085347,0.4138892288677383,0.13939010007949942
KIC5184732,-0.14323172458932718,0.18535223723158187,2.1872480493353206,-0.07434375103277635,0.09090938575740384,0.0324434183905858,0.5043058139478361,0.043918022878908475,0.00595390862113293,-0.3069321695268244,0.16356902324853018,0.033453624019079864
KIC6225718,0.40812779682245975,0.42056702056332756,0.018733049359625505,0.029762372223911704,0.08972874438393107,0.022304850143527736,0.5043058139478361,0.026623603792287526,0.04370060629387092,-0.46862468561904363,0.10065786046063395,0.02509021801430989
UCAC4_576-009710_B,-0.9861152139390124,-1.0342253540872586,-0.06699893901150657,0.1268157890888789,0.3245465071539317,0.28387991091762577,0.06555975581321868,0.36336741624454455,0.28772969563428974,0.9557562837266675,0.029800024478477155,0.2583363188140056
ASASSN-V_J010440.99+051109.8_B,-1.2824680050944144,0.3409331754227977,-0.0014391831982878845,-0.7560225057451834,0.06582075657110734,0.2506991421090721,0.14624868604487246,0.1672760064531119,-0.9903602431092865,-0.750378541246405,0.006622227661883813,0.10965354539587285
EPIC219568666_B,-1.7349724243053253,1.7898267467296434,0.7247611888865961,-1.609497198493071,0.05310524897880552,0.0811085459764645,0.15129174418435082,0.0653596881567546,-1.3678272198366639,-1.5718508643815883,0.006622227661883813,0.01300974267408661
KIC_6131659 B,-1.4017954287113077,1.6546358481285377,-0.687295090167345,-1.4608958089414505,0.1239673442146416,0.03221594947339481,0.5043058139478361,0.06141830832148902,-1.5267606837218752,-1.5718508643815883,0.016555569154709533,0.011151208006359952
KIC4931390,0.6962042919498174,0.25613787735649507,0.06916363075440916,0.34059342759882266,0.06021271004711164,0.044241025078071546,0.756458720921754,0.054597802426234465,0.741352290473331,-0.14077917023206127,0.33111138309419064,0.07434138670906636
KIC6450651,0.03268384005811662,-0.7171646743610798,-0.2334198576142925,0.2750652401870482,0.08146425476962163,0.07557841784170556,0.756458720921754,0.053303002497946936,-0.15264844388098384,0.43536657676320306,0.49666707464128595,0.18585346677266587
KIC8249189,0.5486241202657203,-0.34480271328731105,-0.5713047529593427,0.716004945437769,0.07674168927573052,0.10349239768714937,0.5043058139478361,0.07392894635167355,0.41355202121008156,0.2866838033450702,0.2630799287781381,0.14631456907140603
KIC10923629,0.2688121147526721,-1.3439125296337597,1.1635072470212133,0.9650479177500122,0.10271579949213162,0.0573089298487521,0.5043058139478361,0.05158561888069512,1.7942864887128567,2.029989321672676,0.48380574829889667,0.13240496386970152
KIC11708273,-0.00981924938690336,-0.45540527598248753,1.5820810725979173,0.29423680543875963,0.11334157185338661,0.08295192202138414,0.6303822674347951,0.05416471515053532,-0.2519818588092411,0.1380010299269378,0.49666707464128595,0.1486827734181327
KIC9702752,-0.23296046897325826,-0.5660078386776674,1.7081575260848765,0.16426097914976462,0.0731997651553122,0.033990173109365335,0.5043058139478361,0.0545978899536131,0.13872957324190346,0.4000544180763967,0.14379525508364574,0.04721326312917817
NGC_2506_V4_A,1.010715347429231,-1.1816954376808306,-1.4437538110890988,1.0044856607416135,0.048335457829975496,0.02580726462887507,0.5043058139478361,0.03561950080449085,1.0989525842150565,1.5133166840446648,0.00993334149282572,0.011151208006359952
BG_Ind B,0.809545863803204,-0.41861163390922296,-0.6368645087725613,0.5699172157537753,0.2750894400191571,0.07405114576434478,0.5043058139478361,0.10757953648590114,0.4863965254908036,0.36102519005413664,0.026488910647535252,0.07155358470747636
EPIC211563123_A,0.0054936692270388604,-1.4913826132273318,-0.8083284855148257,0.5518854674280254,0.012739120419771264,0.14747008359357183,0.05043058139478361,0.14370335443712026,0.006285020004227084,1.1062975918125268,0.029800024478477155,0.19514614011129916
KIC10920273,-0.18809609678129272,-1.0121048415482221,-0.3292379622643814,0.34316622434254324,0.3317602259458504,0.03686752089839296,0.10086116278956722,0.12021958187200985,-0.18575958219040292,0.6955614302449354,0.06622227661883813,0.01858534667726659
KIC10454113,0.23811543904237986,0.3888609525907082,0.07672821796362667,0.0006616578138314642,0.11216093047991384,0.03686752089839296,0.029754043022922328,0.039376432141397785,0.04601838597553,-0.43814471706832653,0.06622227661883813,0.01858534667726659
KIC6106415,0.08227077774397326,0.3354030472880386,0.17002479354397634,-0.08854952389126039,0.09090938575740384,0.0324434183905858,0.5043058139478361,0.040787381032815824,-0.25827297508803077,-0.49650270563494375,0.15098679069095094,0.03345362401907986
*_tet_Cyg,1.117693262279599,0.13078830630195976,0.22045537493875997,0.49467752453220915,0.03896116532460165,0.11060256269517886,0.15129174418435082,0.002457550819890247,0.37712976906972095,-0.0032476048202883926,0.12582232557579245,0.02601948534817322
