ID,Seq,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,L,eL1,eL2,FeH,eFeH1,eFeH2,logg,elogg1,elogg2,rho,erho1,erho2,cutoff,class,type,pla,catalog,e_M,e_R,e_Teff,e_L,mode,logTeff,elogTeff1,elogTeff2,logL,elogL1,elogL2,eTeff,elogg,eFeH,elogL,eM,eR
V636_Cen A,246,1.052,0.005,0.005,1.024,0.004,0.004,5900,85,85,1.14,0.07,0.07,-0.2,0.08,0.08,4.444,0.004,0.004,,,,3.9266662,ms,G,,eker14,0.475285171102662,0.390625,1.44067796610169,6.14035087719298,EB,3.770852011642144,0.006212143100285,0.006302292577677,0.0569048513364725,0.0258805189799775,0.0275210736512629,85.0,0.004,0.08,0.026700796315620202,0.005,0.004
V636_Cen B,247,0.854,0.003,0.003,0.835,0.004,0.004,5000,100,100,0.391,0.034,0.034,-0.2,0.08,0.08,4.532,0.005,0.005,,,,4.5166162,ms,K,,eker14,0.351288056206089,0.479041916167665,2.0,8.69565217391304,EB,3.6989700043360183,0.0086001717619175,0.0087739243075048,-0.4078232426041331,0.0362121726544447,0.0395085412836736,100.0,0.005,0.08,0.03786035696905915,0.003,0.004
VZ_Cep A,264,1.402,0.015,0.015,1.558,0.012,0.012,6670,160,160,4.315,0.46,0.46,0.06,0.09,0.09,4.213,0.008,0.008,,,,3.4219312,ms,F,,eker14,1.06990014265335,0.770218228498075,2.39880059970015,10.6604866743917,EB,3.824125833916549,0.0102948697649836,0.0105448453483569,0.6349808000512285,0.0439925758685366,0.0489564176642526,160.0,0.008,0.09,0.046474496766394605,0.015,0.012
VZ_Cep B,265,1.108,0.008,0.008,1.058,0.04,0.04,5720,120,120,1.076,0.137,0.137,0.06,0.09,0.09,4.446,0.033,0.033,,,,4.0446562,ms,G,,eker14,0.722021660649819,3.78071833648393,2.0979020979021,12.7323420074349,EB,3.757396028793024,0.0090168183193752,0.0092080017868241,0.0318122713303704,0.0520485295362026,0.0591466790642594,120.0,0.033,0.09,0.055597604300231,0.008,0.04
VZ_Hya A,266,1.271,0.009,0.009,1.315,0.005,0.005,6645,150,150,3.027,0.3,0.3,-0.2,0.12,0.12,4.305,0.005,0.005,,,,3.4383187,ms,F,,eker14,0.708103855232101,0.380228136882129,2.25733634311512,9.91080277502478,EB,3.822494985278751,0.0096944757897623,0.0099158298697039,0.481012420956573,0.0410403799122494,0.045327283014943,150.0,0.005,0.12,0.0431838314635962,0.009,0.005
WZ_Oph A,274,1.227,0.007,0.007,1.401,0.012,0.012,6165,100,100,2.547,0.182,0.182,-0.27,0.07,0.07,4.234,0.008,0.008,,,,3.7529587,ms,F,,eker14,0.570497147514262,0.856531049250535,1.6220600162206,7.14566156262269,EB,3.789933080931751,0.0069879943984183,0.0071022757291587,0.4060289449636151,0.0299745907062813,0.0321977998897847,100.0,0.008,0.07,0.031086195298033,0.007,0.012
WZ_Oph B,275,1.22,0.006,0.006,1.419,0.012,0.012,6115,100,100,2.529,0.181,0.181,-0.27,0.07,0.07,4.221,0.008,0.008,,,,3.7857337,ms,F,,eker14,0.491803278688525,0.845665961945032,1.63532297628782,7.15697904310004,EB,3.786396461372304,0.0070446716053593,0.0071608296964407,0.4029488293444047,0.0300204615300009,0.0322507367688278,100.0,0.008,0.07,0.03113559914941435,0.006,0.012
YZ_Cas A,282,2.308,0.01,0.01,2.547,0.03,0.03,9200,300,300,41.687,6.397,6.397,0.1,0.06,0.06,3.995,0.01,0.01,,,,1.7635162,ms,A,,eker14,0.433275563258232,1.17785630153121,3.26086956521739,15.3453114879939,EB,3.963787827345555,0.0139357779432924,0.0143978207006423,1.6200006423000677,0.0619999461802569,0.0723489839400985,300.0,0.01,0.06,0.0671744650601777,0.01,0.03
YZ_Cas B,283,1.347,0.01,0.01,1.359,0.02,0.02,6700,250,250,3.342,0.603,0.603,0.1,0.06,0.06,4.307,0.013,0.013,,,,3.4022662,ms,F,,eker14,0.742390497401633,1.47167034584253,3.73134328358209,18.0430879712747,EB,3.8260748027008256,0.0159100018892872,0.0165150880655589,0.5240064455573725,0.0720405619880666,0.0864144133034111,250.0,0.013,0.06,0.07922748764573885,0.01,0.02
EPIC201367296,291,1.15,0.04,0.04,1.73,0.04,0.04,5718,71,71,2.7,0.342211612410021,0.342211612410021,0.21,0.08,0.08,4.018,0.013,0.013,0.220864995383851,0.0106526525104751,0.0106526525104751,4.0459672,ms,G,,lund16,3.47826086956522,2.3121387283237,1.24169289961525,12.6745041633341,A,3.75724415102197,0.0053593985448334,0.0054263632850908,0.4313637641589873,0.0518256555861326,0.0588589397468107,71.0,0.013,0.08,0.055342297666471654,0.04,0.04
