ID,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,FeH,eFeH1,eFeH2,Ref,MH,eMH1,eMH2,logg,elogg1,elogg2,"logg_from_M,R",L,eL1,eL2,L_from_SB,class,type,orbit_a(Rsol),eOrbit_a,R/a,detached,well_detached,source,mode,database,logL,elogL1,elogL2,eTeff,elogg,eFeH,eL,eM,eR,elogL,percent_eM,percent_eR
KIC12304142,1.36,0.09,0.11,1.83,0.04,0.05,6186.0,56.0,56.0,0.06,0.15,0.1,,,,,4.045,0.012,0.013,,4.448,0.382339102,0.382339102,,ms,F,,,,,,C14sdss,A,1,0.6481647785740011,0.03581284181683064,0.03903362568586821,56.0,0.0125,0.125,0.382339102,0.1,0.045,0.03742323375134943,7.352941176470588,2.459016393442623
KIC12507240,1.37,0.11,0.1,1.94,0.06,0.06,6157.0,97.0,97.0,0.02,0.2,0.15,,,,,4.001,0.015,0.015,,4.666,0.394698516,0.394698516,,ms,F,,,,,,C14sdss,A,1,0.6689447344577338,0.0352657311384329,0.03838450786429415,97.0,0.015,0.175,0.394698516,0.10500000000000001,0.06,0.036825119501363524,7.664233576642337,3.0927835051546393
KIC12735580,1.17,0.2,0.12,1.81,0.1,0.08,6170.0,64.0,64.0,0.06,0.15,0.15,,,,,3.994,0.03,0.029,,4.369,0.387567902,0.387567902,,ms,F,,,,,,C14sdss,A,1,0.6403820447095684,0.03691165615317038,0.04034273133205557,64.0,0.0295,0.15,0.387567902,0.16,0.09,0.038627193742612975,13.675213675213676,4.972375690607735
KIC1725815,1.43,0.15,0.11,2.02,0.08,0.08,6550.0,82.0,82.0,-0.08,0.15,0.1,,,,,3.982,0.014,0.014,,6.845,0.587496081,0.587496081,,ms,F,,,,,,C14sdss,A,1,0.8353734524700088,0.035761236412614306,0.038972322196213605,82.0,0.014,0.125,0.587496081,0.13,0.08,0.037366779304413955,9.090909090909092,3.9603960396039604
KIC2865774,1.28,0.11,0.21,1.79,0.08,0.11,6074.0,63.0,63.0,-0.06,0.15,0.15,,,,,4.03,0.022,0.025,,3.998,0.356470017,0.356470017,,ms,F,,,,,,C14sdss,A,1,0.6018427897820982,0.037092514751305594,0.040558899658266756,63.0,0.0235,0.15,0.356470017,0.16,0.095,0.038825707204786175,12.5,5.307262569832402
KIC3123191,1.3,0.11,0.17,1.42,0.05,0.06,6568.0,93.0,93.0,-0.1,0.15,0.1,,,,,4.243,0.02,0.022,,3.494,0.323861481,0.323861481,,ms,F,,,,,,C14sdss,A,1,0.5433229006469121,0.038497266698151456,0.042244661544927564,93.0,0.020999999999999998,0.125,0.323861481,0.14,0.055,0.04037096412153951,10.76923076923077,3.8732394366197185
KIC3236382,1.44,0.16,0.11,1.64,0.06,0.05,6831.0,58.0,58.0,-0.06,0.15,0.15,,,,,4.165,0.014,0.013,,4.73,0.3857002,0.3857002,,ms,F,,,,,,C14sdss,A,1,0.6748611407378116,0.034043944462714526,0.03694135247355623,58.0,0.0135,0.15,0.3857002,0.135,0.055,0.03549264846813538,9.375,3.353658536585366
KIC3344897,1.55,0.16,0.18,2.34,0.08,0.1,6630.0,83.0,83.0,-0.04,0.15,0.1,,,,,3.89,0.017,0.016,,8.694,0.765139525,0.765139525,,ms,F,,,,,,C14sdss,A,1,0.9392196358548183,0.03663199562719954,0.04000886026233463,83.0,0.0165,0.125,0.765139525,0.16999999999999998,0.09,0.03832042794476709,10.96774193548387,3.8461538461538463
KIC3534307,0.96,0.13,0.11,1.44,0.07,0.06,5781.0,59.0,59.0,-0.24,0.15,0.1,,,,,4.104,0.019,0.017,,2.003,0.175425643,0.175425643,,ms,G,,,,,,C14sdss,A,1,0.30168094929357625,0.03646179129863891,0.03980589352532188,59.0,0.018000000000000002,0.125,0.175425643,0.12,0.065,0.038133842411980395,12.5,4.513888888888889
KIC3547794,1.4,0.11,0.13,1.75,0.06,0.06,6825.0,81.0,81.0,-0.14,0.15,0.15,,,,,4.093,0.019,0.019,,5.785,0.49127116,0.49127116,,ms,F,,,,,,C14sdss,A,1,0.7623033632877684,0.03539833528993408,0.03854167156379684,81.0,0.019,0.15,0.49127116,0.12,0.06,0.03697000342686546,8.571428571428571,3.4285714285714284
