ID,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,FeH,eFeH1,eFeH2,Ref,MH,eMH1,eMH2,logg,elogg1,elogg2,"logg_from_M,R",L,eL1,eL2,L_from_SB,class,type,orbit_a(Rsol),eOrbit_a,R/a,detached,well_detached,source,mode,database,logL,elogL1,elogL2,logR,elogR1,elogR2,eTeff,elogg,eFeH,eL,eM,eR,elogL,elogR,percent_eM,percent_eR
KIC7501667,1.0879,0.0419,0.0419,4.6424,0.0805,0.0805,4672.9033,50.6017,50.6017,0.2295,0.058,0.058,,,,,3.1429,0.0042,0.0042,0.0,9.25821,0.56027,0.50693,1.0,rgb,,,,,,,Pinsonneault25,A,3,0.9665270274736709,0.025517232339035245,0.02445544801925359,0.666742557556474,0.00746619261307746,0.007596796546617712,50.6017,0.0042,0.058,0.5336000000000001,0.0419,0.0805,0.024986340179144417,0.007531494579847586,3.85145693538009,1.7340168878166466
KIC7501722,1.1526,0.0444,0.0444,5.503,0.0954,0.0954,4672.341,44.9128,44.9128,0.2361,0.058,0.058,,,,,3.0203,0.0039,0.0039,0.0,13.00265,1.06147,0.66527,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.1140318725446607,0.03408069075354381,0.022808931028368118,0.7405995128111565,0.0074644123276746965,0.0075949534385150175,44.9128,0.0039,0.058,0.86337,0.0444,0.0954,0.028444810890955963,0.007529682883094857,3.8521603331598127,1.73359985462475
KIC7502070,1.0543,0.0441,0.0441,10.375,0.1939,0.1939,4661.5884,47.5309,47.5309,-0.591,0.058,0.058,,,,,2.4287,0.0044,0.0044,0.0,45.89,1.52,1.85,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.6617180576946593,0.01415189762429736,0.017870747394945097,1.0159881053841304,0.008041683362299379,0.008193402224085933,47.5309,0.0044,0.058,1.685,0.0441,0.1939,0.01601132250962123,0.008117542793192656,4.182870150810965,1.8689156626506025
KIC7502157,1.3918,0.0535,0.0535,8.4867,0.1468,0.1468,4794.7314,54.1302,54.1302,-0.1894,0.058,0.058,,,,,2.7259,0.0043,0.0043,0.0,33.75,1.54,1.04,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.5282737771670438,0.019377881192925273,0.01359323304206228,0.9287388503859907,0.00744804295802981,0.007578007147360011,54.1302,0.0043,0.058,1.29,0.0535,0.1468,0.016485557117493777,0.0075130250526949105,3.843943095272309,1.7297653976221616
KIC7510918,0.9632,0.0402,0.0402,10.0454,0.1876,0.1876,4758.151,55.4723,55.4723,-0.6866,0.058,0.058,,,,,2.4171,0.0047,0.0047,0.0,50.43,3.24,2.79,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.7026889681591335,0.02704262712790184,0.024717215348393662,1.0019672346964195,0.008035739430640287,0.008187231973016629,55.4723,0.0047,0.058,3.015,0.0402,0.1876,0.02587992123814775,0.008111485701828458,4.173588039867109,1.8675214526051722
KIC7513379,1.7747,0.0679,0.0679,7.3158,0.1263,0.1263,4950.2417,48.0357,48.0357,-0.1421,0.058,0.058,,,,,2.9604,0.004,0.004,0.0,25.06,0.59,0.57,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.3989810666581313,0.010106302789703703,0.009992281533417247,0.8642618241849632,0.0074336771840251,0.007563136137494042,48.0357,0.004,0.058,0.58,0.0679,0.1263,0.010049292161560475,0.007498406660759571,3.8259987603538628,1.7264003936684982
KIC7516156,1.4959,0.0572,0.0572,5.5243,0.0953,0.0953,5021.091,51.167,51.167,-0.193,0.058,0.058,,,,,3.1301,0.0041,0.0041,0.0,17.92,0.76,0.66,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.2533380053261065,0.018038866567968048,0.016297213946915745,0.7422772551359237,0.007428148693781056,0.0075574134802438575,51.167,0.0041,0.058,0.71,0.0572,0.0953,0.017168040257441897,0.007492781087012457,3.8237850123671366,1.7251054432235757
KIC7518143,1.3358,0.0513,0.0513,5.375,0.093,0.093,4805.9243,44.3317,44.3317,0.1563,0.058,0.058,,,,,3.1048,0.0038,0.0038,0.0,13.88543,0.82562,0.69442,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.14255933340105,0.025084338166167397,0.02228128382635619,0.730378468587643,0.007450037308141644,0.007580071716737802,44.3317,0.0038,0.058,0.76002,0.0513,0.093,0.023682810996261794,0.007515054512439723,3.840395268752807,1.730232558139535
KIC7518352,1.1803,0.0446,0.0446,7.1935,0.1228,0.1228,4960.1973,49.5399,49.5399,-0.5345,0.058,0.058,,,,,2.7979,0.004,0.004,0.0,28.22091,1.54989,1.46496,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.4505710137275638,0.023219491423606353,0.023150638031075754,0.8569402479407319,0.007351257184224358,0.0074778368187239375,49.5399,0.004,0.058,1.507425,0.0446,0.1228,0.023185064727341054,0.007414547001474148,3.778700330424469,1.7070966845068465
KIC7523875,1.4916,0.0572,0.0572,7.6352,0.132,0.132,4841.0483,45.9806,45.9806,-0.096,0.058,0.058,,,,,2.8478,0.0039,0.0039,0.0,25.03,0.68,0.71,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.3984608496082234,0.011641227034637325,0.012497279007525952,0.882820417654229,0.0074440704252562995,0.007573894802791803,45.9806,0.0039,0.058,0.6950000000000001,0.0572,0.132,0.012069253021081638,0.007508982614024051,3.8348082595870205,1.7288348700754401
KIC7524184,2.0198,0.0798,0.0798,33.7652,0.5986,0.5986,4199.175,37.328,37.328,-0.0627,0.058,0.058,,,,,1.6629,0.0038,0.0038,0.0,319.36643,29.38398,15.85943,1.0,rgb,,,,,,,Pinsonneault25,A,3,2.504289263612183,0.03822546323759379,0.022120551639735364,1.5284693265021996,0.007631856240838175,0.007768373430746323,37.328,0.0038,0.058,22.621705,0.0798,0.5986,0.03017300743866458,0.007700114835792249,3.950886226359045,1.7728311989859382
KIC7529215,1.2196,0.0468,0.0468,6.7377,0.1165,0.1165,4861.0806,46.9234,46.9234,-0.2419,0.058,0.058,,,,,2.869,0.0039,0.0039,0.0,22.89,0.47,0.41,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.3596457926745429,0.008827045765819053,0.007849485777519316,0.828511669861915,0.007445102777765111,0.007574963481196018,46.9234,0.0039,0.058,0.43999999999999995,0.0468,0.1165,0.008338265771669184,0.0075100331294805645,3.837323712692686,1.7290766878905264
KIC7530496,1.3934,0.0584,0.0584,9.4222,0.1764,0.1764,4551.528,40.4975,40.4975,0.2162,0.058,0.058,,,,,2.6356,0.0041,0.0041,0.0,30.22,0.69,0.65,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.4802944600030066,0.009804545060298375,0.009443135476888909,0.9741523185367427,0.008055575272283622,0.008207823749606713,40.4975,0.0041,0.058,0.6699999999999999,0.0584,0.1764,0.009623840268593642,0.008131699510945167,4.191187024544281,1.8721742268260066
KIC7530849,1.5805,0.0606,0.0606,7.1517,0.1236,0.1236,4878.809,54.2911,54.2911,-0.0048,0.058,0.058,,,,,2.9298,0.0043,0.0043,0.0,26.1077,1.56018,1.45136,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.4167686136342834,0.025207269772141494,0.02484000349023785,0.8544092883553661,0.007441617984130233,0.0075713560871431,54.2911,0.0043,0.058,1.50577,0.0606,0.1236,0.025023636631189672,0.007506487035636666,3.834229674153749,1.7282604136079533
KIC7531119,1.1849,0.0456,0.0456,7.9756,0.1382,0.1382,4680.078,43.1622,43.1622,-0.0399,0.058,0.058,,,,,2.7099,0.0038,0.0038,0.0,27.49374,1.37079,1.37579,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.439233821359743,0.02113066893261295,0.02229473522787795,0.901763364693153,0.0074609337248363605,0.007591352127139905,43.1622,0.0038,0.058,1.37329,0.0456,0.1382,0.02171270208024545,0.007526142925988133,3.8484260275128706,1.7327849942324087
KIC7531332,1.515,0.0581,0.0581,7.5465,0.1304,0.1304,4891.593,47.1968,47.1968,-0.1914,0.058,0.058,,,,,2.8647,0.0039,0.0039,0.0,26.93,0.51,0.47,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.4302363534115103,0.008147753623203746,0.007646513560028101,0.8777455763814294,0.007440307102708266,0.007569999102137626,47.1968,0.0039,0.058,0.49,0.0581,0.1304,0.007897133591615924,0.007505153102422946,3.834983498349835,1.7279533558603324
KIC7531871,1.0507,0.044,0.044,9.4295,0.1764,0.1764,4608.0527,43.1327,43.1327,-0.3227,0.058,0.058,,,,,2.5115,0.0042,0.0042,0.0,40.23,1.2,0.98,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.6045500325712614,0.012764900727032291,0.0107103714899901,0.9744886648478295,0.008049396356400007,0.008201409152481687,43.1327,0.0042,0.058,1.0899999999999999,0.044,0.1764,0.011737636108511196,0.008125402754440847,4.1876844008756064,1.8707248528554006
KIC7532570,0.9537,0.0399,0.0399,11.7583,0.22,0.22,4604.239,54.2879,54.2879,-0.5966,0.058,0.058,,,,,2.2726,0.0047,0.0047,0.0,70.09,4.67,5.21,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.8456560599835443,0.02801323272325007,0.033545218780444586,1.0703445365370632,0.008050649378684271,0.008202709953526677,54.2879,0.0047,0.058,4.9399999999999995,0.0399,0.22,0.030779225751847328,0.008126679666105474,4.183705567788612,1.8710187697201126
KIC7533463,1.2651,0.0531,0.0531,9.2956,0.174,0.174,4539.915,42.9647,42.9647,0.2413,0.058,0.058,,,,,2.6054,0.0042,0.0042,0.0,33.07048,3.55423,1.73999,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.5194404985072456,0.044333696059060124,0.023473311329593294,0.9682774272740586,0.00805420732988349,0.008206403614001823,42.9647,0.0042,0.058,2.64711,0.0531,0.174,0.03390350369432671,0.008130305471942656,4.1972966563908,1.8718533499720296
KIC7533804,1.7687,0.068,0.068,9.9258,0.1717,0.1717,4790.11,44.8648,44.8648,-0.0132,0.058,0.058,,,,,2.6939,0.0039,0.0039,0.0,44.44,1.32,1.3,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.64777405026883,0.012711965516137624,0.012893909502303735,0.9967655201287379,0.007448341713287898,0.007578316420292164,44.8648,0.0039,0.058,1.31,0.068,0.1717,0.01280293750922068,0.007513329066790031,3.844631650364675,1.729835378508533
KIC7533995,1.0793,0.0416,0.0416,5.8924,0.1022,0.1022,4639.357,42.3502,42.3502,0.0727,0.058,0.058,,,,,2.9324,0.0038,0.0038,0.0,14.4914,1.13472,0.72163,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.16111034426372,0.03274081086520142,0.022183658078333002,0.7702922208413832,0.007467988513677581,0.0075986558365269685,42.3502,0.0038,0.058,0.928175,0.0416,0.1022,0.02746223447176721,0.007533322175102275,3.854350041693691,1.7344375806123142
KIC7540130,2.1039,0.0814,0.0814,23.973,0.4182,0.4182,4494.6963,40.8435,40.8435,-0.0907,0.058,0.058,,,,,1.9882,0.0038,0.0038,0.0,211.32014,8.19001,10.52737,1.0,rgb,,,,,,,Pinsonneault25,A,3,2.3249408897359283,0.01651371678788971,0.02219281874120327,1.3797223853861937,0.0075107819040929336,0.007642964320543788,40.8435,0.0038,0.058,9.35869,0.0814,0.4182,0.01935326776454649,0.007576873112318361,3.8690051808546038,1.7444625203353774
