,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
10,10,6.279890847639364,2026-06-04 16:11:15.236569,2026-06-04 16:11:16.257235,0 days 00:00:01.020666,0.12740684746063247,8,3,319,0.0053703565915915255,0.004995067983841962,0.8576928804634472,COMPLETE
11,11,6.958050047940295,2026-06-04 16:11:16.259918,2026-06-04 16:11:17.256322,0 days 00:00:00.996404,0.03486917545031274,3,10,905,1.1061896729040455,0.007157338880528354,0.6969135675884223,COMPLETE
12,12,6.08311727378233,2026-06-04 16:11:17.258286,2026-06-04 16:11:18.320626,0 days 00:00:01.062340,0.02209727380841232,3,2,877,0.1313930518602428,0.001481274901791094,0.9892627428758879,COMPLETE
13,13,8.496030851022727,2026-06-04 16:11:18.322685,2026-06-04 16:11:19.062104,0 days 00:00:00.739419,0.1911130390223928,7,9,878,3.111951984087927,0.003434373845302596,0.7543440408807025,COMPLETE
14,14,6.2279899183084835,2026-06-04 16:11:19.063877,2026-06-04 16:11:20.715576,0 days 00:00:01.651699,0.010672232341829214,8,8,338,0.003358214525357797,0.019186734707187743,0.6801149161323363,COMPLETE
15,15,6.457791193958654,2026-06-04 16:11:20.718180,2026-06-04 16:11:22.392923,0 days 00:00:01.674743,0.03960640198756545,4,1,671,0.5720340055802425,0.011398901666900208,0.8634005983270966,COMPLETE
16,16,8.593982727409275,2026-06-04 16:11:22.395594,2026-06-04 16:11:23.087455,0 days 00:00:00.691861,0.01283424872880561,6,2,148,0.004448912362172488,0.05016671023223138,0.5873851733626555,COMPLETE
17,17,6.185007238734502,2026-06-04 16:11:23.090010,2026-06-04 16:11:24.898117,0 days 00:00:01.808107,0.06040132570440862,3,4,929,0.010593032183178603,0.0011399262017259117,0.957027057007353,COMPLETE
18,18,5.889049687204855,2026-06-04 16:11:24.900724,2026-06-04 16:11:26.459967,0 days 00:00:01.559243,0.013168149559777935,4,3,438,0.015071824609280941,0.0010888826054624267,0.9633467661426339,COMPLETE
19,19,5.845464167087797,2026-06-04 16:11:26.462990,2026-06-04 16:11:28.447768,0 days 00:00:01.984778,0.010289319644740532,4,2,521,0.00210631014655801,0.0058590804173756245,0.9384847429032369,COMPLETE
20,20,5.869927672244918,2026-06-04 16:11:28.451051,2026-06-04 16:11:29.810968,0 days 00:00:01.359917,0.02185120721843917,5,3,283,0.006593949345192372,0.001101361872379517,0.8845529804819077,COMPLETE
21,21,5.825130958740056,2026-06-04 16:11:29.814504,2026-06-04 16:11:32.948774,0 days 00:00:03.134270,0.010955768986058457,6,2,468,0.0036821867881073633,0.0012083166893383627,0.8981256357432746,COMPLETE
22,22,5.9671010450744095,2026-06-04 16:11:32.953678,2026-06-04 16:11:36.645714,0 days 00:00:03.692036,0.010642433350121461,6,4,716,0.0028886080936284747,0.0310850158974728,0.8690568127108457,COMPLETE
23,23,5.781897099478377,2026-06-04 16:11:36.648897,2026-06-04 16:11:38.586673,0 days 00:00:01.937776,0.016733540709748446,5,1,537,0.0037531863595705473,0.0010416077386238187,0.7879001679685603,COMPLETE
24,24,5.794314091895485,2026-06-04 16:11:38.589443,2026-06-04 16:11:40.877162,0 days 00:00:02.287719,0.018524576838011914,6,2,467,0.0031766060956556577,0.0012127562434087638,0.694632415022695,COMPLETE
25,25,5.8777116782422985,2026-06-04 16:11:40.880022,2026-06-04 16:11:42.091476,0 days 00:00:01.211454,0.01364347413727519,3,2,612,0.002286383205643117,0.007410121288658655,0.5634201558177655,COMPLETE
26,26,5.83692641310238,2026-06-04 16:11:42.094217,2026-06-04 16:11:46.042705,0 days 00:00:03.948488,0.010665843067927826,7,2,713,0.0020077285029659283,0.0011806430645440685,0.7429729214538252,COMPLETE
27,27,5.87325144238608,2026-06-04 16:11:46.045491,2026-06-04 16:11:47.791403,0 days 00:00:01.745912,0.06623061451792916,5,2,518,0.003858796806035607,0.0025159472067036457,0.6265743786235862,COMPLETE
28,28,5.826750535714397,2026-06-04 16:11:47.794277,2026-06-04 16:11:49.784037,0 days 00:00:01.989760,0.032020523710190936,6,2,451,0.015163929022384772,0.0048479023563409085,0.7720830475054208,COMPLETE
29,29,5.85883052016973,2026-06-04 16:11:49.786811,2026-06-04 16:11:51.031918,0 days 00:00:01.245107,0.028386867024496436,3,1,634,0.0011948606034038593,0.0011028466575719114,0.7984240136154652,COMPLETE
30,30,5.827078201572936,2026-06-04 16:11:51.035592,2026-06-04 16:11:53.271036,0 days 00:00:02.235444,0.01772683532992391,6,1,322,0.0017945296203585686,0.00472683064349338,0.7657956101638996,COMPLETE
31,31,5.800498055888059,2026-06-04 16:11:53.274181,2026-06-04 16:11:54.888952,0 days 00:00:01.614771,0.013913626022948572,5,2,432,0.021630417225711403,0.0018731264340726011,0.738143677922004,COMPLETE
32,32,5.979049203180121,2026-06-04 16:11:54.891921,2026-06-04 16:11:56.926812,0 days 00:00:02.034891,0.01412654482161651,5,1,380,0.07071340817136762,0.0016247777451531336,0.6417473204540634,COMPLETE
33,33,5.834231631563297,2026-06-04 16:11:56.929532,2026-06-04 16:11:58.364727,0 days 00:00:01.435195,0.01794306986972421,4,1,563,0.0359544438342443,0.001055129108346095,0.7684722232360772,COMPLETE
34,34,6.193677728975568,2026-06-04 16:11:58.367492,2026-06-04 16:12:01.386633,0 days 00:00:03.019141,0.018654839527128337,8,3,483,0.012407719961710398,0.001704240992580417,0.9956540731355975,COMPLETE
35,35,5.951084384126266,2026-06-04 16:12:01.389123,2026-06-04 16:12:04.042083,0 days 00:00:02.652960,0.027102079092779084,7,3,530,0.0015954489233447047,0.0062322655825219194,0.6117166024418375,COMPLETE
36,36,5.822061672704185,2026-06-04 16:12:04.045131,2026-06-04 16:12:06.439741,0 days 00:00:02.394610,0.011735401625396975,6,1,535,0.009800238980439926,0.0039178654002895,0.7561926606055077,COMPLETE
37,37,6.056573617743427,2026-06-04 16:12:06.442354,2026-06-04 16:12:09.284778,0 days 00:00:02.842424,0.016101206113550554,6,2,760,0.1924999863273528,0.02354610738025328,0.7254039075495786,COMPLETE
38,38,6.032114618055493,2026-06-04 16:12:09.287513,2026-06-04 16:12:10.661013,0 days 00:00:01.373500,0.01774163296577269,5,7,491,0.06510798933183018,0.003999250893099463,0.7525099156049954,COMPLETE
39,39,5.864333316805807,2026-06-04 16:12:10.663676,2026-06-04 16:12:12.048087,0 days 00:00:01.384411,0.018748351488089236,5,1,422,0.002965993762691559,0.0016389076702402893,0.6872278119096292,COMPLETE
40,40,5.898436948142478,2026-06-04 16:12:12.050706,2026-06-04 16:12:16.201022,0 days 00:00:04.150316,0.012771450390138918,10,2,499,0.016702247195702583,0.03231673035339692,0.7008822552651521,COMPLETE
