ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	eFe/H1	eFe/H2	Ref	M/H	eM/H1	eM/H2	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a(Rsol)	eOrbit_a	R/a	detached	well_detached	source	mode	database	logL	elogL1	elogL2	logTeff	elogTeff1	elogTeff2
KIC11708273	1.07	0.18	0.12	1.56	0.09	0.07	5959.0	96.0	96.0	0.24	0.15	0.1	NA	NA	NA	NA	4.081	0.023	0.022	NA	3.277	0.28619582	0.28619582	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.5154764413823758	0.03636324883520303	0.03968846242977958	3.775173385424787	0.0069407620542842885	0.007053491239989551
KIC11757831	1.42	0.14	0.1	1.82	0.07	0.06	6754.0	70.0	70.0	-0.02	0.15	0.2	NA	NA	NA	NA	4.07	0.014	0.014	NA	7.031	0.617434134	0.617434134	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.8470170979353542	0.03655543309126341	0.03991753872298598	3.8295610562993927	0.004477961860073876	0.00452461507803914
KIC11862119	1.17	0.15	0.13	1.52	0.09	0.08	6271.0	56.0	56.0	-0.38	0.15	0.15	NA	NA	NA	NA	4.141	0.018	0.018	NA	2.733	0.242536025	0.242536025	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.4366396316926607	0.036925580970327054	0.04035936772498816	3.7973368007753496	0.0038610336837994197	0.00389566779768602
KIC11919192	1.6	0.15	0.19	2.29	0.1	0.11	6788.0	81.0	81.0	-0.28	0.2	0.15	NA	NA	NA	NA	3.919	0.019	0.02	NA	9.2	0.763354241	0.763354241	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.9637878273455552	0.0346177443231499	0.037618013172729614	3.8317418336456384	0.0051516827307955815	0.005213527304986698
KIC11962180	1.35	0.14	0.15	1.97	0.1	0.1	6329.0	80.0	80.0	0.06	0.15	0.1	NA	NA	NA	NA	3.979	0.016	0.018	NA	6.241	0.547604773	0.547604773	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.7952541825808829	0.03652634256108578	0.039882849648064544	3.8013350956745464	0.005455175909520271	0.005524571007138324
KIC11971746	1.11	0.1	0.17	1.35	0.05	0.08	5952.0	75.0	75.0	0.18	0.15	0.15	NA	NA	NA	NA	4.215	0.018	0.021	NA	2.284	0.187851532	0.187851532	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.3586960995738104	0.034326282389281704	0.03727405954952534	3.7746629225378223	0.005438268930089141	0.005507231823423719
KIC12011630	0.85	0.12	0.08	0.99	0.05	0.03	5817.0	85.0	85.0	-0.08	0.15	0.15	NA	NA	NA	NA	4.383	0.018	0.015	NA	1.085	0.096706057	0.096706057	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.0354297381845483	0.03707972338719009	0.04054360449092957	3.7646990637983677	0.006300141365572998	0.006392882073060768
KIC12055375	1.04	0.16	0.12	1.54	0.1	0.08	5991.0	75.0	75.0	-0.34	0.2	0.1	NA	NA	NA	NA	4.081	0.025	0.026	NA	2.481	0.210149961	0.210149961	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.3946267642722091	0.035311134688200796	0.03843830877777976	3.777499319590365	0.005403086384279554	0.0054711542655101475
KIC12156916	1.28	0.14	0.16	1.58	0.06	0.07	6546.0	56.0	56.0	-0.42	0.2	0.15	NA	NA	NA	NA	4.146	0.015	0.018	NA	3.54	0.309113868	0.309113868	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.5490032620257879	0.0363574969546403	0.03968160983157065	3.8159760009719856	0.0036995190223070296	0.0037313041716164896
KIC12253255	1.48	0.16	0.14	2.27	0.11	0.09	6457.0	64.0	64.0	0.1	0.2	0.1	NA	NA	NA	NA	3.89	0.018	0.018	NA	9.183	0.787558936	0.787558936	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.9629845843169971	0.035734920636232737	0.03894106709134093	3.8100307864058394	0.004283413801620117	0.004326081971974816
KIC12304142	1.36	0.09	0.11	1.83	0.04	0.05	6186.0	56.0	56.0	0.06	0.15	0.1	NA	NA	NA	NA	4.045	0.012	0.013	NA	4.448	0.382339102	0.382339102	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.6481647785740011	0.03581284181683064	0.03903362568586821	3.79140991566716	0.003913848662153718	0.00394944114874507
KIC12507240	1.37	0.11	0.1	1.94	0.06	0.06	6157.0	97.0	97.0	0.02	0.2	0.15	NA	NA	NA	NA	4.001	0.015	0.015	NA	4.666	0.394698516	0.394698516	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.6689447344577338	0.0352657311384329	0.03838450786429415	3.7893691535914815	0.006788723315433121	0.0068965294251954745
KIC12735580	1.17	0.2	0.12	1.81	0.1	0.08	6170.0	64.0	64.0	0.06	0.15	0.15	NA	NA	NA	NA	3.994	0.03	0.029	NA	4.369	0.387567902	0.387567902	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.6403820447095684	0.03691165615317038	0.04034273133205557	3.7902851640332416	0.004481633907579496	0.004528364070598645
KIC1725815	1.43	0.15	0.11	2.02	0.08	0.08	6550.0	82.0	82.0	-0.08	0.15	0.1	NA	NA	NA	NA	3.982	0.014	0.014	NA	6.845	0.587496081	0.587496081	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.8353734524700088	0.035761236412614306	0.038972322196213605	3.816241299991783	0.005403217550433936	0.005471288757419757
KIC2865774	1.28	0.11	0.21	1.79	0.08	0.11	6074.0	63.0	63.0	-0.06	0.15	0.15	NA	NA	NA	NA	4.03	0.022	0.025	NA	3.998	0.356470017	0.356470017	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.6018427897820982	0.037092514751305594	0.040558899658266756	3.7834747875822465	0.004481335701685296	0.004528059613629676
