ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	FeH	eFeH1	eFeH2	Ref	MH	eMH1	eMH2	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a(Rsol)	eOrbit_a	R/a	detached	well_detached	source	mode	database	logL	elogL1	elogL2
KIC11401755	1.059	0.03	0.021	1.632	0.015	0.021	5911.0	66.0	66.0	-0.179	0.072111026	0.072111026	NA	NA	NA	NA	4.039	0.004	0.004	NA	2.982	0.144	0.148	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1	0.4745076391169758	0.020481334566192333	0.022107793205534187
KIC11853905	1.117	0.021	0.029	1.555	0.012	0.012	5781.0	76.0	76.0	0.177	0.072111026	0.072111026	NA	NA	NA	NA	4.102	0.005	0.004	NA	2.505	0.142	0.124	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1	0.3988077302032645	0.023946211098083703	0.02204833479838464
KIC11904151	0.918	0.011	0.019	1.066	0.006	0.009	5647.0	74.0	74.0	-0.114	0.072111026	0.072111026	NA	NA	NA	NA	4.344	0.003	0.003	NA	1.063	0.032	0.034	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1	0.026533264523296733	0.012880854652840397	0.01411788976086384
KIC3425851	1.178	0.049	0.049	1.36	0.015	0.018	6343.0	85.0	85.0	-0.016	0.072111026	0.072111026	NA	NA	NA	NA	4.243	0.008	0.008	NA	2.728	0.162	0.157	NA	MS	F	NA	NA	NA	NA	NA	silva15	A	1	0.4358443659844413	0.025053476772106564	0.025742289341580682
KIC4141376	1.019	0.021	0.03	1.039	0.009	0.009	6134.0	91.0	91.0	-0.269	0.072111026	0.072111026	NA	NA	NA	NA	4.412	0.003	0.004	NA	1.363	0.052	0.056	NA	MS	F	NA	NA	NA	NA	NA	silva15	A	1	0.13449585583467355	0.01626058402563549	0.01822026825412927
KIC4143755	0.918	0.021	0.03	1.414	0.012	0.013	5622.0	106.0	106.0	-0.357	0.072111026	0.072111026	NA	NA	NA	NA	4.102	0.001	0.002	NA	1.997	0.029	0.038	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1	0.30037806487070257	0.006261376153559095	0.00834362887596618
KIC4914423	1.099	0.019	0.03	1.45	0.009	0.009	5845.0	88.0	88.0	0.131	0.072111026	0.072111026	NA	NA	NA	NA	4.155	0.004	0.004	NA	2.256	0.115	0.119	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1	0.35333909531130464	0.02159245866688353	0.023534573147235338
KIC5094751	1.068	0.04	0.04	1.339	0.015	0.018	5952.0	75.0	75.0	-0.017	0.072111026	0.072111026	NA	NA	NA	NA	4.213	0.008	0.007	NA	2.04	0.124	0.112	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1	0.3096301674258988	0.025627089008633086	0.02452313785908683
KIC6196457	1.209	0.019	0.03	1.716	0.012	0.012	5871.0	94.0	94.0	0.19	0.072111026	0.072111026	NA	NA	NA	NA	4.049	0.004	0.005	NA	3.316	0.185	0.164	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1	0.5206145218782359	0.02357758888679673	0.02202831306071823
KIC6278762	0.739	0.009	0.011	0.748	0.006	0.003	5046.0	74.0	74.0	-0.482	0.072111026	0.072111026	NA	NA	NA	NA	4.56	0.003	0.002	NA	0.341	0.02	0.016	NA	MS	K	NA	NA	NA	NA	NA	silva15	A	1	-0.4672456210075022	0.024752822913160222	0.0208710180136234
