ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	eFe/H1	eFe/H2	Ref	M/H	eM/H1	eM/H2	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a(Rsol)	eOrbit_a	R/a	detached	well_detached	source	mode	database	logL	elogL1	elogL2	logR	elogR1	elogR2
KIC10016093	1.0259	0.0396	0.0396	10.6571	0.1848	0.1848	4618.82	43.6135	43.6135	-0.4482	0.058	0.058	NA	NA	NA	NA	2.3928	0.0039	0.0039	0.0	52.78	1.46	1.31	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.722469385884031	0.011850294974975917	0.010915217633861385	1.0276390409623457	0.007466356296150112	0.007596966006509609
KIC10017956	1.1297	0.0472	0.0472	10.1811	0.1902	0.1902	4695.803	48.7718	48.7718	-0.2914	0.058	0.058	NA	NA	NA	NA	2.4759	0.0044	0.0044	0.0	43.51	1.89	1.86	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.638589083292717	0.018466769564386976	0.01897407754991054	1.0077947031600445	0.00803849367653009	0.008190091067371785
KIC10018811	1.2896	0.0494	0.0494	7.4742	0.1291	0.1291	4920.621	53.4464	53.4464	-0.2724	0.058	0.058	NA	NA	NA	NA	2.8031	0.0042	0.0042	0.0	29.50556	1.96601	1.61607	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.4699038617339368	0.028014547061997463	0.024463289103272112	0.87356471483209	0.007437411755435885	0.007567001955296915
KIC10018923	1.3219	0.0511	0.0511	10.6033	0.1842	0.1842	4533.994	40.4063	40.4063	0.1668	0.058	0.058	NA	NA	NA	NA	2.5094	0.0038	0.0038	0.0	42.8056	2.40422	2.10726	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.6315005888731373	0.02373218904896124	0.02192389324846644	1.0254410491089694	0.007479759614296588	0.007610842805219287
KIC10023322	1.3192	0.051	0.051	12.9936	0.2256	0.2256	4556.281	47.744	47.744	-0.1265	0.058	0.058	NA	NA	NA	NA	2.3284	0.0041	0.0041	0.0	68.6	6.12	3.47	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.8363241157067516	0.03711274751528526	0.022543037532669175	1.1137294931460937	0.007475680150398345	0.007606619139439497
KIC10023439	1.1444	0.0442	0.0442	7.7954	0.1352	0.1352	4613.572	44.8278	44.8278	0.0195	0.058	0.058	NA	NA	NA	NA	2.7147	0.004	0.004	0.0	24.80394	3.47263	1.27675	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.3945206721306287	0.05690605546888983	0.022950612373618062	0.891838404750743	0.007467640931521191	0.007598295984657111
KIC10023978	1.0877	0.0433	0.0433	28.321	0.5071	0.5071	4243.3794	39.2618	39.2618	-0.1777	0.058	0.058	NA	NA	NA	NA	1.5441	0.0038	0.0038	0.0	234.29301	9.26165	11.92772	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	2.3697593318589667	0.0168371116071242	0.022692334641024825	1.4521085840041175	0.007707435882970293	0.007846695113810975
KIC10024460	1.0453	0.0405	0.0405	10.096	0.1754	0.1754	4500.951	44.8951	44.8951	-0.1482	0.058	0.058	NA	NA	NA	NA	2.4492	0.004	0.004	0.0	37.68865	1.73901	1.96969	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.5762105813856364	0.019590421423223647	0.023311775985379368	1.0041493419000591	0.007480300415476426	0.007611402728832428
KIC10025321	1.6044	0.0615	0.0615	6.4224	0.111	0.111	4857.205	52.8011	52.8011	-0.0266	0.058	0.058	NA	NA	NA	NA	3.0297	0.0042	0.0042	0.0	20.68403	1.10663	1.13372	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.3156351589987465	0.022635225447471985	0.02448151081049299	0.8076973508073915	0.007441897383158147	0.007571645313687703
KIC10025387	1.2804	0.0492	0.0492	5.5569	0.0961	0.0961	4794.343	49.8942	49.8942	0.0428	0.058	0.058	NA	NA	NA	NA	3.0575	0.0041	0.0041	0.0	14.96	0.2	0.19	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.1749315935284426	0.005767607767592109	0.005551098216493022	0.7448325814463548	0.007446404013763841	0.0075763105117911955
