ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	eFe/H1	eFe/H2	Ref	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a	eOrbit_a	R/a	detached	well_detached	source	mode	database
EPIC206108325	1.3	0.05	0.05	2.15	0.05	0.05	6433.0	71.0	71.0	-0.18	0.11	0.11	NA	3.887	0.014	0.014	NA	7.835	3.439729669	3.439729669	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	1
EPIC206189649	1.17	0.06	0.06	2.0	0.05	0.05	6082.0	78.0	78.0	-0.18	0.11	0.11	NA	3.907	0.012	0.012	NA	8.906	1.59769483	1.59769483	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	1
EPIC206201061	1.41	0.1	0.1	1.97	0.06	0.06	6589.0	71.0	71.0	-0.02	0.11	0.11	NA	3.997	0.013	0.013	NA	5.989	0.544008622	0.544008622	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	1
EPIC206245055	0.88	0.04	0.04	0.93	0.02	0.02	5835.0	71.0	71.0	-0.35	0.08	0.08	NA	4.444	0.012	0.012	NA	1.027	0.088155323	0.088155323	NA	MS	G	NA	NA	NA	NA	NA	lund16	A	1
EPIC206289767	1.36	0.08	0.08	2.06	0.06	0.06	6368.0	78.0	78.0	0.04	0.11	0.11	NA	3.94	0.013	0.013	NA	6.726	0.567887631	0.567887631	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	1
EPIC206368174	1.32	0.08	0.08	1.78	0.05	0.05	6212.0	65.0	65.0	0.1	0.06	0.06	NA	4.05	0.013	0.013	NA	4.479	0.385317387	0.385317387	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	1
EPIC206371648	0.83	0.03	0.03	0.93	0.02	0.02	5549.0	65.0	65.0	-0.24	0.08	0.08	NA	4.421	0.016	0.016	NA	1.218	0.192773285	0.192773285	NA	MS	G	NA	NA	NA	NA	NA	lund16	A	1
EPIC206453540	1.42	0.08	0.08	1.87	0.05	0.05	6524.0	78.0	78.0	-0.02	0.11	0.11	NA	4.044	0.011	0.011	NA	6.053	0.502935082	0.502935082	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	1
KIC10003270	1.416	0.20746566	0.103232747	2.362	0.114947814	0.098478424	6594.0	69.0	69.0	-0.181	0.1	0.1	NA	3.848	0.022135944	0.023086793	NA	9.847	0.935283685	0.935283685	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10016239	1.264	0.054037024	0.05964059	1.298	0.024698178	0.025553865	6482.0	51.0	51.0	-0.005	0.1	0.1	NA	4.312	0.01077033	0.01077033	NA	2.567	0.21132721	0.21132721	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10019747	1.168	0.050990195	0.055605755	1.7	0.029206164	0.030805844	5769.0	65.0	65.0	0.204	0.1	0.1	NA	4.044	0.010630146	0.010630146	NA	2.721	0.231861813	0.231861813	NA	MS	G	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10024648	1.444	0.087692645	0.137295302	2.0	0.050447993	0.060207973	6409.0	157.0	157.0	-0.006	0.1	0.1	NA	3.994	0.014317821	0.016155494	NA	5.875	0.50241565	0.50241565	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10025841	1.121	0.133195345	0.096648849	1.521	0.094556861	0.085094066	5738.0	187.0	187.0	0.197	0.1	0.1	NA	4.127	0.036221541	0.039204592	NA	3.181	0.271735078	0.271735078	NA	MS	G	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10068307	1.469	0.0095	0.0209	2.0823	0.018	0.018	6132.0	77.0	77.0	-0.23	0.1	0.1	NA	3.9666	0.0044	0.0044	NA	6.294	0.2	0.173	NA	MS	F	NA	NA	NA	NA	NA	silva17	A	1
KIC10070754	1.201	0.055217751	0.056859476	1.284	0.028635642	0.028635642	6550.0	58.0	58.0	-0.21	0.099	0.099	NA	4.299	0.014866069	0.014866069	NA	2.492	0.206873468	0.206873468	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
