Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	FeH	eFeH1	eFeH2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode	logTeff	elogTeff1	elogTeff2	logL	elogL1	elogL2
97	HW_CMa A	1.779	0.012	0.012	1.668	0.021	0.021	7700	150	150	8.79	0.782	0.782	0.28	0.1	0.1	4.247	0.011	0.011	NA	NA	NA	2.7467662	MS	A	NA	eker14	0.674536256323777	1.2589928057554	1.94805194805195	8.89647326507395	EB	3.886490725172482	0.00837893157277092	0.008543773543293387	0.9439888750737718	0.03701381486762789	0.040464810602509615
98	HW_CMa B	1.719	0.011	0.011	1.649	0.018	0.018	7560	150	150	7.98	0.71	0.71	0.33	0.1	0.1	4.242	0.01	0.01	NA	NA	NA	2.8385362	MS	A	NA	eker14	0.639906922629436	1.09157064887811	1.98412698412698	8.89724310776942	EB	3.8785217955012063	0.008532582549750423	0.008703587521878386	0.9020028913507294	0.0370168850979371	0.040468480491691605
99	IM_Vir A	0.981	0.012	0.012	1.062	0.016	0.016	5570	100	100	0.975	0.082	0.082	-0.1	0.25	0.25	4.379	0.014	0.014	NA	NA	NA	4.1429812	MS	G	NA	eker14	1.22324159021407	1.50659133709981	1.79533213644524	8.41025641025641	EB	3.745855195173729	0.007727863719177552	0.007867868840297998	-0.010995384301463193	0.035070371608889435	0.038153156809990374
100	IM_Vir B	0.664	0.005	0.005	0.681	0.013	0.013	4250	130	130	0.136	0.02	0.02	-0.1	0.25	0.25	4.594	0.017	0.017	NA	NA	NA	5.0082412	PMS	K	NA	eker14	0.753012048192771	1.90895741556535	3.05882352941176	14.7058823529412	EB	3.6283889300503116	0.013085180453788148	0.013491714017177081	-0.8664610916297825	0.05958568998424407	0.06908091914329906
104	Kepler-34A	1.0479	0.0033	0.003	1.1618	0.0027	0.0031	5913	130	130	1.49	0.13	0.13	-0.07	0.15	0.15	4.3284	0.0021	0.0021	NA	NA	NA	3.9181447	MS	G	p	welsh12	0.30060120240481	0.249612669994836	2.19854557754101	8.7248322147651	EB	3.771807878999106	0.009444715249350644	0.009654686695511394	0.17318626841227402	0.03632874613035694	0.039647360042056545
105	Kepler-34B	1.0208	0.0022	0.0022	1.0927	0.0032	0.0027	5867	130	130	1.28	0.11	0.11	-0.07	0.15	0.15	4.3703	0.0022	0.0022	NA	NA	NA	3.9482977	MS	G	p	welsh12	0.21551724137931	0.269973460236112	2.2157831941367	8.59375	EB	3.768416088216332	0.009517960621447497	0.00973123833389078	0.10720996964786837	0.03580483060622676	0.03902410790170675
106	Kepler-35A	0.8876	0.0051	0.0053	1.0284	0.002	0.0019	5606	150	150	0.94	0.1	0.1	-0.34	0.2	0.2	4.3623	0.002	0.002	NA	NA	NA	4.1193832	MS	G	p	welsh12	0.585849481748535	0.189614935822637	2.67570460221192	10.6382978723404	EB	3.7486530934242674	0.011467691840300276	0.011778731775844875	-0.026872146400301365	0.04390548569908173	0.048848567537816995
107	Kepler-35B	0.8094	0.0041	0.0044	0.7861	0.002	0.0022	5202	100	100	0.41	0.03	0.03	-0.34	0.2	0.2	4.5556	0.0016	0.0016	NA	NA	NA	4.3842052	MS	G	p	welsh12	0.525080306399802	0.267141585040071	1.92233756247597	7.31707317073171	EB	3.716170347859854	0.008269375537220736	0.008429893586082482	-0.38721614328026455	0.030668819766451916	0.03300026010292528
108	KIC_6131659 A	0.922	0.007	0.007	0.88	0.003	0.003	5660	140	140	0.713	0.078	0.078	-0.21	0.1	0.1	4.50576557675329	0.0044316972988704	0.0044316972988704	NA	NA	NA	4.0839862	MS	G	NA	eker14	0.759219088937093	0.340909090909091	2.47349823321555	10.9396914446003	EB	3.7528164311882715	0.010611562374665873	0.01087735345907248	-0.14691047014813446	0.04508695364581097	0.05031580455988985
109	KIC_6131659 B	0.685	0.005	0.005	0.64	0.006	0.006	4780	105	105	0.192	0.019	0.019	-0.21	0.1	0.1	4.65333062352465	0.0087383011588306	0.0087383011588306	NA	NA	NA	4.6608262	MS	K	NA	eker14	0.72992700729927	0.9375	2.19665271966527	9.89583333333333	EB	3.6794278966121188	0.009436671442673017	0.009646281403582257	-0.7166987712964504	0.04098122659414305	0.045255125574754085
112	LL_Aqr A	1.223	0.058	0.058	1.325	0.02	0.02	6680	160	160	3.141	0.351	0.351	0.02	0.04	0.04	4.281	0.009	0.009	NA	NA	NA	3.4153762	MS	F	NA	eker14	4.74243663123467	1.50943396226415	2.39520958083832	11.1747851002865	EB	3.824776462475546	0.010279639244570316	0.010528866743625631	0.4970679363985048	0.046006298635027365	0.05146373312490721
113	LL_Aqr B	1.055	0.051	0.051	1.005	0.016	0.016	6200	160	160	1.34	0.163	0.163	0.02	0.04	0.04	4.457	0.01	0.01	NA	NA	NA	3.7300162	MS	F	NA	eker14	4.83412322274881	1.59203980099503	2.58064516129032	12.1641791044776	EB	3.792391689498254	0.01106542615015993	0.011354750877122122	0.12710479836480765	0.04985418222210053	0.05632833552137295
114	LV_Her A	1.192	0.01	0.01	1.358	0.012	0.012	6060	150	150	2.234	0.25	0.25	0.08	0.21	0.21	4.249	0.008	0.008	NA	NA	NA	3.8217862	MS	F	NA	eker14	0.838926174496644	0.883652430044183	2.47524752475248	11.1906893464637	EB	3.782472624166286	0.010618976010293935	0.01088514328503054	0.3490831687795902	0.046068422724952374	0.0515415009614304
115	LV_Her B	1.169	0.008	0.008	1.313	0.011	0.011	6030	150	150	2.046	0.229	0.229	0.08	0.21	0.21	4.27	0.008	0.008	NA	NA	NA	3.8414512	MS	F	NA	eker14	0.684345594525235	0.837776085300838	2.48756218905473	11.1925708699902	EB	3.780317312140151	0.010671162948664659	0.010939986064012697	0.3109056293761413	0.04607577161698989	0.05155070206810708
132	RS_Cha A	1.893	0.01	0.01	2.168	0.061	0.061	7638	76	76	14.355	1.062	1.062	0.17	0.07	0.07	4.05	0.06	0.06	NA	NA	NA	2.7874072	MS	A	NA	eker14	0.528262017960909	2.81365313653136	0.995024875621891	7.39811912225705	EB	3.882979654037299	0.004299980492723954	0.004342981010782232	1.1570031968325247	0.03099667557231056	0.033380192081250426
133	RS_Cha B	1.871	0.01	0.01	2.379	0.06	0.06	7228	72	72	13.868	0.958	0.958	0.17	0.07	0.07	3.936	0.06	0.06	NA	NA	NA	3.0561622	MS	F	NA	eker14	0.534473543559594	2.52206809583859	0.996126175982291	6.90798961638304	EB	3.8590181438888944	0.004304716231561478	0.004347811993559159	1.142013832984359	0.029010162801364148	0.03108759071793865
