ID	component	M	eM	R	eR	Teff	eTeff	L	eL	logg	elogg	FeH	eFeH	logL	elogL1	elogL2	elogL	logTeff	elogTeff1	elogTeff2	elogTeff
*  61 Cyg B	NA	0.613	0.011	0.5943	0.0083	4173.0	47.0	0.0965	0.0035	4.68	0.02	-0.21	0.07	-1.0154726866562074	0.01547268665620738	0.0160443647898576	0.01575852572303249	3.620448384711709	0.004864066249965049	0.004919161074576017	0.004891613662270533
*  61 UMa	NA	0.84	0.003	0.9366	0.0093	5309.0	29.0	0.6278	0.0064	4.42	0.01	-0.05	0.01	-0.20217868863597635	0.004404926327046227	0.004450062445067959	0.004427494386057093	3.725012725341157	0.002365844110332027	0.0023788028073448153	0.0023723234588384212
*  84 Cet	NA	1.176	0.03	1.207	0.028	6309.0	51.0	2.08	0.085	4.36	0.02	-0.02	0.05	0.31806333496276157	0.01739456572662268	0.01812043493999449	0.017757500333308585	3.7999605274059833	0.0034965882424304873	0.003524968595808975	0.003510778419119731
*  85 Peg	NA	0.774	0.004	0.948	0.011	5444.0	30.0	0.711	0.011	4.39	0.03	-0.79	0.03	-0.14813039927023372	0.006667596839872836	0.006771560715509467	0.006719578777691151	3.735918116531297	0.0023866765428079972	0.0023998650968093393	0.0023932708198086683
* 107 Psc	NA	0.813	0.008	0.8216	0.0034	5128.0	71.0	0.42	0.023	4.52	0.01	-0.04	0.01	-0.37675070960209955	0.02315443582516913	0.02445878363478543	0.02380660972997728	3.709948016510761	0.00597180092281846	0.006055062878216333	0.006013431900517396
* alf Cen C	NA	0.124	0.003	0.1544	0.001	2900.0	54.0	0.00152	0.00011	5.154	0.012	-0.04	0.09	-2.8181564120552274	0.030344016459185053	0.032624475289392496	0.031484245874288774	3.462397997898956	0.008012493076974714	0.008163102150690715	0.008087797613832715
* alf01 Cen	NA	1.0788	0.0029	1.2175	0.0055	5803.0	19.0	1.514	0.015	4.3001	0.0041	0.237	0.007	0.18012587516405396	0.004281610248266149	0.004324242315774468	0.0043029262820203085	3.7636525705645303	0.0014196305382618846	0.0014242862780560195	0.001421958408158952
* alf02 Cen	NA	0.9092	0.0025	0.8591	0.0036	5206.0	17.0	0.4882	0.0049	4.5287	0.0038	0.221	0.016	-0.3114022249188302	0.004337227449967951	0.004380979942289309	0.00435910369612863	3.716504163773217	0.0014158620637769737	0.0014204930782897307	0.0014181775710333522
* b Aql	NA	1.068	0.023	1.355	0.04	5672.0	85.0	1.712	0.017	4.22	0.04	0.38	0.01	0.2335037603411344	0.0042912329327881304	0.004334057802033414	0.004312645367410772	3.75373622217501	0.0064600072801241915	0.0065575508148456585	0.006508779047484925
* bet CVn	NA	0.98	0.036	1.032	0.031	6012.0	91.0	1.253	0.013	4.41	0.04	-0.2	0.01	0.09795107099414996	0.0044826346871862655	0.004529385831914895	0.00450601025955058	3.7790189719148706	0.006524398041722446	0.006623910832870283	0.0065741544372963645
* bet Com	NA	1.042	0.012	1.114	0.011	5929.0	33.0	1.382	0.014	4.37	0.01	0.06	0.01	0.14050804303817957	0.0043773752489627005	0.004421945654082188	0.004399660451522444	3.7729814503449637	0.0024105213516483204	0.0024239754939685554	0.002417248422808438
* chi01 Ori	NA	1.012	0.027	0.9827	0.0095	5882.0	63.0	1.041	0.042	4.47	0.02	-0.03	0.01	0.017450729510536125	0.01717772711478422	0.017885241284553866	0.017531484199669045	3.7695250201710504	0.004626838783659881	0.0046766629776398005	0.004651750880649841
* eps Eri	NA	0.815	0.008	0.7224	0.0038	5130.0	30.0	0.3255	0.0067	4.63	0.01	-0.08	0.01	-0.48744900709578926	0.008848635211164912	0.009032680180135977	0.008940657695650445	3.7101173651118162	0.002532336515395084	0.002547189013879958	0.002539762764637521
* eps Ind	NA	0.719	0.012	0.6877	0.0047	4753.0	35.0	0.2174	0.0057	4.62	0.01	-0.13	0.03	-0.6627404602497242	0.01124003053356204	0.011538681730863809	0.011389356132212924	3.6769678142947586	0.0031863274396144448	0.0032098777451818883	0.0031981025923981665
* kap01 Cet	NA	0.999	0.03	0.933	0.024	5785.0	87.0	0.879	0.028	4.5	0.04	0.04	0.01	-0.056011124926228104	0.013618411986323374	0.01405931498918403	0.013838863487753702	3.7623033632877685	0.006482683620245844	0.006580918384310408	0.006531801002278126
* lam Aur	NA	1.016	0.011	1.324	0.02	5822.0	47.0	1.815	0.019	4.2	0.02	0.06	0.01	0.2588766293721313	0.004522701961870934	0.004570297040845717	0.004546499501358325	3.765072201102792	0.003491908410781175	0.0035202125386102345	0.0035060604746957047
* omi02 Eri	NA	0.769	0.002	0.81	0.0033	5180.0	21.0	0.4255	0.006	4.51	0.01	-0.29	0.01	-0.3711004355793933	0.006081235630621684	0.0061675992558876125	0.006124417443254648	3.714329759745233	0.0017570940295987825	0.0017642318719248706	0.0017606629507618266
* pi.03 Ori	NA	1.28	0.017	1.3162	0.0042	6517.0	35.0	2.815	0.06	4.31	0.01	0.03	0.03	0.44947839918736504	0.009159449838284262	0.009356795999561185	0.009258122918922723	3.8140477209955996	0.0023261677567623096	0.0023386942994085835	0.0023324310280854466
* psi Ser A	NA	0.956	0.037	0.949	0.024	5665.0	91.0	0.836	0.033	4.47	0.04	0.05	0.01	-0.07779372256098363	0.016813499009650096	0.017490732160335462	0.01715211558499278	3.753199914199416	0.0069208710651516014	0.007032949822130874	0.006976910443641238
* rho01 Cnc	NA	0.891	0.004	0.979	0.015	5168.0	44.0	0.6162	0.0094	4.41	0.02	0.32	0.02	-0.21027830601907818	0.006575046070869728	0.006676121866228929	0.006625583968549328	3.7133225049870275	0.0036819020535197033	0.0037133839143788094	0.0036976429839492564
* sig CrB A	a	1.137	0.037	1.244	0.05	6050.0	150.0	1.87	0.24	4.304	0.038	-0.06	0.03	0.27184160653649897	0.05244084876119376	0.05965400213254113	0.056047425446867444	3.781755374652469	0.010636314845784867	0.010903363010324796	0.010769838928054831
* sig CrB A	b	1.09	0.036	1.244	0.05	5870.0	150.0	1.66	0.22	4.286	0.038	-0.06	0.03	0.22010808804005508	0.05404976122362473	0.06174559594480544	0.05789767858421509	3.7686381012476144	0.010958390010209929	0.01124207245459008	0.011100231232400004
* sig Dra	NA	0.777	0.008	0.777	0.0068	5288.0	27.0	0.4254	0.0043	4.56	0.02	-0.21	0.01	-0.37120251443328983	0.00436786811719303	0.004412244146445143	0.004390056131819087	3.723291446477584	0.002211822381731565	0.002223144680424838	0.0022174835310782015
* tet Per	NA	1.168	0.004	1.3218	0.0099	6205.0	27.0	2.333	0.025	4.26	0.01	0.01	0.01	0.36791473879375264	0.0046290619653177045	0.00467893431005878	0.004653998137688242	3.7927417858347487	0.001885658829759329	0.001893881869317049	0.001889770349538189
* w Her	NA	0.847	0.005	1.136	0.019	5823.0	50.0	1.338	0.014	4.26	0.03	-0.39	0.01	0.12645611343180432	0.0045205781738128226	0.004568128328123172	0.004544353250967997	3.7651467901080253	0.0037132107349315824	0.0037452326093943	0.003729221672162941
2MASS J00024841-2953539	A	0.3978	0.0033	0.4037	0.0048	3373.0	39.0	0.01905	0.00088	4.826	0.01	0.04	0.04	-1.7201050199883618	0.019612318688849495	0.020540052703603706	0.0200761856962266	3.5280163411892014	0.0049926813062839415	0.0050507456972148645	0.005021713501749403
2MASS J00024841-2953539	B	0.2245	0.0018	0.2759	0.0055	3228.0	45.0	0.00759	0.00052	4.908	0.017	0.04	0.06	-2.1197582241045194	0.028779078315675388	0.030822362098581024	0.029800720207128206	3.5089335260500327	0.006012479257971659	0.006096887429029696	0.0060546833435006775
2MASS J06481917-0306077	NA	1.209	0.034	1.22	0.012	6343.0	74.0	2.17	0.11	4.348	0.004	0.04	0.03	0.3364597338485295	0.02147511315192424	0.022592513479376075	0.022033813315650158	3.802294711397464	0.005037327893726573	0.005096441558504861	0.005066884726115717
2MASS J10171027-4622384	B	0.664	0.002	0.6929	0.004	5546.0	153.0	0.409	0.046	4.588	0.003	-1.47	0.04	-0.38827669199265824	0.04628808864977063	0.051816682971229266	0.04905238581049995	3.743979865241843	0.01181879173198741	0.012149444953680533	0.011984118342833971
2MASS J10193800-0948225	NA	0.734	0.04	0.683	0.013	4652.0	201.0	0.197	0.035	4.635	0.01	-0.08	0.08	-0.7055337738384071	0.07102175872930683	0.08495121161896191	0.07798648517413437	3.667639706056411	0.018370585258874694	0.01918211177388862	0.018776348516381658
2MASS J16232838-2630216	B	0.6051	0.0045	0.6109	0.0091	4808.0	122.0	0.18	0.019	4.645	0.017	-1.2	0.1	-0.744727494896694	0.043580571306400584	0.04844662907145625	0.046013600188928416	3.681964458994683	0.010882460282547246	0.01116217473373915	0.011022317508143198
2MASS J18422295+4305503	NA	0.8	0.03	0.73	0.02	4631.0	93.0	0.165	0.002	4.614	0.029	0.29	0.12	-0.7825160557860937	0.00523252693367704	0.00529633980994848	0.00526443337181276	3.665674780993893	0.008635107947584153	0.008810289444975972	0.008722698696280062
2MASS J18422295+4305503	NA	0.8	0.03	0.73	0.02	4631.0	93.0	0.165	0.002	4.614	0.029	0.29	0.12	-0.7825160557860937	0.00523252693367704	0.00529633980994848	0.00526443337181276	3.665674780993893	0.008635107947584153	0.008810289444975972	0.008722698696280062
2MASS J18430644+4255283	NA	0.78	0.03	0.71	0.02	4512.0	93.0	0.167	0.002	4.628	0.03	0.35	0.12	-0.7772835288524167	0.005170233466090246	0.00523252693367704	0.005201380199883643	3.654369090975286	0.008860543557581924	0.009045089412992535	0.00895281648528723
2MASS J18430644+4255283	NA	0.78	0.03	0.71	0.02	4512.0	93.0	0.167	0.002	4.628	0.03	0.35	0.12	-0.7772835288524167	0.005170233466090246	0.00523252693367704	0.005201380199883643	3.654369090975286	0.008860543557581924	0.009045089412992535	0.00895281648528723
