,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
10,10,6.333601339781427,2026-06-04 16:32:00.982739,2026-06-04 16:32:01.880877,0 days 00:00:00.898138,0.011194193912227531,5,1,540,1.4764032758136385,4.155188599282413,0.6546816694571099,COMPLETE
11,11,4.012659798902871,2026-06-04 16:32:01.882699,2026-06-04 16:32:04.248502,0 days 00:00:02.365803,0.05977786575620591,10,9,673,0.010547584008870042,0.5828933892054786,0.729429270106102,COMPLETE
12,12,4.320148411107834,2026-06-04 16:32:04.250888,2026-06-04 16:32:07.017201,0 days 00:00:02.766313,0.2201748610991233,10,8,720,0.012446163285717243,2.0856956165420475,0.7047967318213131,COMPLETE
13,13,5.14464151352576,2026-06-04 16:32:07.019969,2026-06-04 16:32:09.334913,0 days 00:00:02.314944,0.010057971131086777,9,1,359,0.06498086705909617,2.324546590052004,0.7910492380925926,COMPLETE
14,14,4.134487510251917,2026-06-04 16:32:09.338268,2026-06-04 16:32:11.745682,0 days 00:00:02.407414,0.19147992372637304,10,4,940,0.0014319726416104346,3.450698462821608,0.8993933613617119,COMPLETE
15,15,8.081574518689404,2026-06-04 16:32:11.748421,2026-06-04 16:32:12.255817,0 days 00:00:00.507396,0.02899677668517273,8,6,69,0.015051367522860671,0.015454833324269064,0.9422351290409746,COMPLETE
16,16,3.807328390179227,2026-06-04 16:32:12.258317,2026-06-04 16:32:15.748810,0 days 00:00:03.490493,0.04973500398797197,9,2,643,0.035291420659135195,0.33518890978074684,0.6260572857369593,COMPLETE
17,17,3.759110699527138,2026-06-04 16:32:15.752001,2026-06-04 16:32:18.420549,0 days 00:00:02.668548,0.0845126268383816,8,1,492,0.011371173723171408,0.5622924624005051,0.7620538728796411,COMPLETE
18,18,4.063053510421659,2026-06-04 16:32:18.423162,2026-06-04 16:32:20.322132,0 days 00:00:01.898970,0.24965125480093212,9,1,631,0.17924523810024015,0.13764569824890432,0.8515490149602879,COMPLETE
19,19,3.944149325839338,2026-06-04 16:32:20.325355,2026-06-04 16:32:23.101890,0 days 00:00:02.776535,0.1100128547950919,9,1,366,0.0013877645318433186,6.517129169271485,0.8530568597157788,COMPLETE
20,20,3.7648868830086437,2026-06-04 16:32:23.104656,2026-06-04 16:32:27.050711,0 days 00:00:03.946055,0.049430962188338846,8,1,806,0.05096985763701504,0.06308099096856812,0.7444671208613071,COMPLETE
21,21,3.8740055877864537,2026-06-04 16:32:27.053353,2026-06-04 16:32:31.053661,0 days 00:00:04.000308,0.0584769396361608,8,2,855,0.015111650387680241,0.08600596612163369,0.7060970615684659,COMPLETE
22,22,3.804612757700968,2026-06-04 16:32:31.056491,2026-06-04 16:32:35.277484,0 days 00:00:04.220993,0.031888962750200325,10,1,629,0.03947467655099083,0.06189729002869076,0.663528499789289,COMPLETE
23,23,4.370550975308412,2026-06-04 16:32:35.283948,2026-06-04 16:32:40.124213,0 days 00:00:04.840265,0.029561448024807285,9,1,959,0.48747523663804826,0.00833316147316092,0.8877821263128319,COMPLETE
24,24,3.956825695360821,2026-06-04 16:32:40.126864,2026-06-04 16:32:42.048349,0 days 00:00:01.921485,0.125328351874213,5,3,565,0.027820492954830085,0.24106745686929318,0.8107980192727191,COMPLETE
25,25,3.8787757733294717,2026-06-04 16:32:42.050971,2026-06-04 16:32:43.813263,0 days 00:00:01.762292,0.024575492551830717,8,1,283,0.05778018844272059,0.020970839027437592,0.7066459231678709,COMPLETE
26,26,3.7482571545332997,2026-06-04 16:32:43.815898,2026-06-04 16:32:48.767067,0 days 00:00:04.951169,0.019511565489531417,9,2,771,0.0029089599052121882,0.016554491781096543,0.6389723401157802,COMPLETE
27,27,3.7894766625277923,2026-06-04 16:32:48.769973,2026-06-04 16:32:53.491719,0 days 00:00:04.721746,0.012593869655136678,8,2,721,0.006339110559452632,0.0014114528795964143,0.7985422253581395,COMPLETE
28,28,3.802045905008954,2026-06-04 16:32:53.494401,2026-06-04 16:32:56.675399,0 days 00:00:03.180998,0.01854097824306741,9,4,637,0.021679051955276325,0.006382975103876351,0.5794020516178088,COMPLETE
29,29,3.911439079965143,2026-06-04 16:32:56.677973,2026-06-04 16:32:59.972800,0 days 00:00:03.294827,0.029840413058730392,7,5,831,0.0012190309188460557,0.02591890351132564,0.6525607553126762,COMPLETE
30,30,3.7499395900789794,2026-06-04 16:32:59.975392,2026-06-04 16:33:05.977286,0 days 00:00:06.001894,0.010215425142048288,9,2,850,0.0034265115351349387,0.13556431553907225,0.6176019470602903,COMPLETE
31,31,3.8356329108702907,2026-06-04 16:33:05.979927,2026-06-04 16:33:12.422399,0 days 00:00:06.442472,0.013469991741373736,10,5,936,0.06483082066949147,0.3933779768483123,0.593231827739372,COMPLETE
32,32,3.7560396131107447,2026-06-04 16:33:12.425274,2026-06-04 16:33:27.276071,0 days 00:00:14.850797,0.01128228146987119,9,1,896,0.001755865301644497,0.32023148600635,0.7170734595248978,COMPLETE
33,33,3.8109403626637373,2026-06-04 16:33:27.279738,2026-06-04 16:33:36.008986,0 days 00:00:08.729248,0.014974657160252383,9,2,782,0.002811845299912059,0.671338985125176,0.7843726364688977,COMPLETE
